STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/3/1921,,,0.01,0,,,57,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/4/1921,,,0.04,0,,,57,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/5/1921,,,0.42,0,,,57,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/6/1921,,,0.3,0,,,58,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/7/1921,,,0,0,,,55,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/8/1921,,,0,0,,,55,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/9/1921,,,0,0,,,59,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/10/1921,,,0,0,,,53,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/11/1921,,,0.03,0,,,53,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/12/1921,,,0.14,0,,,59,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/13/1921,,,0,0,,,59,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/14/1921,,,0,0,,,62,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/15/1921,,,0,0,,,59,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/16/1921,,,0,0,,,67,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/17/1921,,,0,0,,,61,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/18/1921,,,0.05,0,,,57,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/19/1921,,,0,0,,,60,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/20/1921,,,0,0,,,54,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/21/1921,,,0.55,0,,,58,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/22/1921,,,0.74,0,,,57,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/23/1921,,,0,0,,,64,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/24/1921,,,0,0,,,63,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/25/1921,,,0,0,,,63,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/26/1921,,,0,0,,,65,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/27/1921,,,0,0,,,68,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/28/1921,,,0,0,,,73,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/29/1921,,,0,0,,,62,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/30/1921,,,0,0,,,66,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",3/31/1921,,,0,0,,,59,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/1/1921,,,0,0,,,59,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/2/1921,,,0,0,,,54,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/3/1921,,,0.01,0,,,53,44,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/4/1921,,,0,0,,,60,43,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/5/1921,,,0,0,,,64,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/6/1921,,,0,0,,,60,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/7/1921,,,0,0,,,55,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/8/1921,,,0,0,,,69,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/9/1921,,,0,0,,,60,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/10/1921,,,0,0,,,58,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/11/1921,,,0.03,0,,,64,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/12/1921,,,0.04,0,,,60,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/13/1921,,,0,0,,,54,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/14/1921,,,0,0,,,56,44,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/15/1921,,,0,0,,,56,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/16/1921,,,0.46,0,,,57,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/17/1921,,,0,0,,,59,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/18/1921,,,0,0,,,61,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/19/1921,,,0,0,,,59,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/20/1921,,,0,0,,,64,51,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/21/1921,,,0,0,,,76,52,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/22/1921,,,0,0,,,66,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/23/1921,,,0,0,,,55,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/24/1921,,,0,0,,,58,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/25/1921,,,0,0,,,61,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/26/1921,,,0,0,,,70,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/27/1921,,,0,0,,,86,58,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/28/1921,,,0,0,,,84,57,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/29/1921,,,0,0,,,70,49,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/30/1921,,,0,0,,,57,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/1/1921,,,0.15,0,,,61,44,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/2/1921,,,0,0,,,60,44,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/3/1921,,,0,0,,,57,45,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/4/1921,,,0.04,0,,,57,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/5/1921,,,0.1,0,,,59,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/6/1921,,,0,0,,,59,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/7/1921,,,0,0,,,61,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/8/1921,,,0,0,,,58,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/9/1921,,,0,0,,,54,46,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/10/1921,,,0,0,,,61,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/11/1921,,,0,0,,,71,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/12/1921,,,0,0,,,59,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/13/1921,,,0,0,,,58,47,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/14/1921,,,0,0,,,64,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/15/1921,,,0,0,,,58,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/16/1921,,,0,0,,,57,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/17/1921,,,0,0,,,57,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/18/1921,,,0,0,,,58,48,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/19/1921,,,0,0,,,59,50,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/20/1921,,,0.07,0,,,58,49,
