STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/23/1948,0.02,0.3,0,,45,21,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/24/1948,0.01,0.3,0,,32,18,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/25/1948,0,0,0,,46,21,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/26/1948,0,0,0,,64,27,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/27/1948,0,0,0,,51,27,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/28/1948,0.02,0.4,0,,37,23,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,2/29/1948,0.14,1.7,0,,34,24,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/1/1948,0.31,5.4,4,,28,4,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/2/1948,0,0,3,,35,0,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/3/1948,0.25,3.7,6,,26,13,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/4/1948,0.04,0.7,7,,16,-5,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/5/1948,0,0,7,,18,-10,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/6/1948,0,0,6,,28,3,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/7/1948,0,0,5,,34,4,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/8/1948,0,0,4,,39,12,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/9/1948,0.09,1.6,4,,25,1,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/10/1948,0.01,0.2,,,7,-7,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/11/1948,0,0,4,,34,-10,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/12/1948,0,0,1,,45,10,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/13/1948,0,0,0,,58,21,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/14/1948,0,0,0,,57,32,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/15/1948,0,0,0,,47,30,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/16/1948,0,0,0,,47,26,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/17/1948,0,0,0,,55,24,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/18/1948,0,0,0,,58,30,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/19/1948,0,0,0,,60,27,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/20/1948,0.51,4.5,0,,57,28,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/21/1948,0.19,3.2,4,,37,16,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/22/1948,0,0,0,,58,21,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/23/1948,0,0,0,,69,33,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,3/24/1948,0,0,0,,69,35,
