,State,Federal
Coastal Range,0.112718,0.077309
Sierran Steppe,0.213688,0.127677
IntermountainSemiDesert,0.003724,0.00262
IntermountainSemiDesertnDesert,0.000721,0.007381
AmSemiDesert,0.001818,0.000518
FedCoastalSteppe,1.213607,0.751409
Dry Steppe,0.550539,0.024782
Coastal Chaparral Forest,0.426876,0.135066
