STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/10/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/11/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/12/46,,,,,18,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/13/46,,,,,1.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/15/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/16/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/17/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/18/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/19/46,,,,,13.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/20/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/21/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/22/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/23/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/24/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/25/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/26/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/27/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/28/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/29/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",6/30/46,,,,,2.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/1/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/2/46,,,,,20.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/3/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/4/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/6/46,,,,,0.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/7/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/8/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/9/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/10/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/11/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/12/46,,,,,0.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/13/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/14/46,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",7/15/46,,,,,0,,,,
