"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2006","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11",".","9",".","36","."
"01/02/2006","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".","6",".","55","."
"01/03/2006","43","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","23",".","7",".","43","."
"01/04/2006","64","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13",".","10",".","64","."
"01/05/2006","77","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","23",".","6","34","77","."
"01/06/2006","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","23",".","11",".","54","."
"01/07/2006","20","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".","1",".","20","."
"01/08/2006","35","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10",".","3",".","35","."
"01/09/2006","20","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","10",".","4",".","20","."
"01/10/2006","16","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","15",".","1",".","16","."
"01/11/2006","27","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","14",".","6","9","27","."
"01/12/2006","23","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19",".","13",".","23","."
"01/13/2006","25","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".","11",".","25","."
"01/14/2006","65","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","17",".","7",".","65","."
"01/15/2006","40","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15",".","7",".","40","."
"01/16/2006","22","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","16",".","9",".","22","."
"01/17/2006","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22",".","6","14","40","."
"01/18/2006","36","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","18",".","1",".","36","."
"01/19/2006","27","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15",".","3",".","27","."
"01/20/2006","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","14",".","4",".","48","."
"01/21/2006","72","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","19",".","4",".","72","."
"01/22/2006","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".","4",".","54","."
"01/23/2006","109","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".","11","49","109","."
"01/24/2006","68","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","44",".","9",".","68","."
"01/25/2006","43","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19",".","7",".","43","."
"01/26/2006","17","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","14",".","3",".","17","."
"01/27/2006","18","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","14",".","3",".","18","."
"01/28/2006","23","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","11",".","1",".","23","."
"01/29/2006","19","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11",".","4","5","19","."
"01/30/2006","27","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17",".","3",".","27","."
"01/31/2006","24","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".","7",".","24","."
"02/01/2006","39","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16",".","1",".","39","."
"02/02/2006","29","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17",".","3",".","29","."
"02/03/2006","60","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","20",".","9",".","60","."
"02/04/2006","35","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","15",".","1","13","35","."
"02/05/2006","53","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13",".","11",".","53","."
"02/06/2006","64","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","19",".","7",".","64","."
"02/07/2006","84","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","24",".","11",".","84","."
"02/08/2006","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".","16",".","60","."
"02/09/2006","23","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","10",".","13",".","23","."
"02/10/2006","17","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","8",".","4","16","17","."
"02/11/2006","25","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8",".","6",".","25","."
"02/12/2006","59","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","25",".","19",".","59","."
"02/13/2006","78","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","30",".","16",".","78","."
"02/14/2006","37","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13",".","4",".","37","."
"02/15/2006","67","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","17",".","67","."
"02/16/2006","85","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","35",".","24","29","85","."
"02/17/2006","24","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9",".","4",".","24","."
"02/18/2006","17","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9",".","6",".","17","."
"02/19/2006","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19",".","19",".","55","."
"02/20/2006","148","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","33",".","27",".","148","."
"02/21/2006","76","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","22",".","10",".","76","."
