"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/1987","34","NO2","Portland - SE Lafayette","41-051-0080","AQS","27",".","4",".",".","34"
"01/02/1987","65","CO","","41-051-0075","AQS","65",".","16",".",".","."
"01/03/1987","33","CO","","41-051-1002","AQS","33",".","4","10",".","."
"01/04/1987","39","CO","","53-011-0010","AQS","39",".","6",".",".","."
"01/05/1987","159","CO","","53-011-0010","AQS","159",".","19",".",".","."
"01/06/1987","153","CO","","53-011-0010","AQS","153",".","21",".",".","26"
"01/07/1987","65","CO","","53-011-0010","AQS","65",".","26",".",".","20"
"01/08/1987","87","CO","","53-011-0010","AQS","87",".","13",".",".","19"
"01/09/1987","71","CO","","53-011-0010","AQS","71",".","9","42",".","18"
"01/10/1987","42","CO","","41-051-0075","AQS","42",".","7",".",".","29"
"01/11/1987","60","CO","","53-011-0010","AQS","60",".","20",".",".","34"
"01/12/1987","45","CO","","41-051-1002","AQS","45",".","10",".",".","23"
"01/13/1987","45","CO","","41-051-1002","AQS","45",".","11",".",".","18"
"01/14/1987","65","SO2","","41-051-0074","AQS","47",".","65",".",".","35"
"01/15/1987","62","SO2","","41-051-0074","AQS","48",".","62","57",".","40"
"01/16/1987","69","CO","","53-011-0010","AQS","69",".","31",".",".","39"
"01/17/1987","68","CO","Portland - SE Lafayette","41-051-0080","AQS","68",".","39",".",".","50"
"01/18/1987","77","CO","Portland - SE Lafayette","41-051-0080","AQS","77",".","52",".",".","47"
"01/19/1987","61","CO","","53-011-0010","AQS","61",".","31",".",".","34"
"01/20/1987","95","CO","","53-011-0010","AQS","95",".","52",".",".","64"
"01/21/1987","99","CO","","53-011-0010","AQS","99",".","13","58",".","24"
"01/22/1987","40","CO","","41-051-1002","AQS","40",".","6",".",".","25"
"01/23/1987","67","CO","","41-051-0078","AQS","67",".","16",".",".","35"
"01/24/1987","42","CO","","41-051-1002","AQS","42",".","20",".",".","32"
"01/25/1987","48","CO","","41-051-0075","AQS","48",".","19",".",".","37"
"01/26/1987","60","CO","","41-051-1002","AQS","60",".","36",".",".","32"
"01/27/1987","49","CO","","41-051-1002","AQS","49",".","21","28",".","27"
"01/28/1987","44","CO","","41-051-1002","AQS","44",".","1",".",".","29"
"01/29/1987","51","CO","","53-011-0010","AQS","51",".","20",".",".","28"
"01/30/1987","50","CO","","41-051-1002","AQS","50",".","9",".",".","35"
"01/31/1987","41","CO","","41-051-1002","AQS","41",".","4",".",".","27"
"02/01/1987","42","NO2","Portland - SE Lafayette","41-051-0080","AQS","40",".","6",".",".","42"
"02/02/1987","52","CO","","53-011-0010","AQS","52",".","17","22",".","25"
"02/03/1987","82","SO2","","41-051-0074","AQS","69",".","82",".",".","30"
"02/04/1987","54","CO","","41-051-1002","AQS","54",".","27",".",".","29"
"02/05/1987","70","CO","","53-011-0010","AQS","70",".","6",".",".","23"
"02/06/1987","82","CO","","53-011-0010","AQS","82",".","36",".",".","27"
"02/07/1987","87","CO","","53-011-0010","AQS","87",".","7",".",".","22"
"02/08/1987","30","CO","","41-051-0075","AQS","30",".","10","27",".","20"
"02/09/1987","57","CO","","53-011-0010","AQS","57",".","20",".",".","29"
"02/10/1987","50","SO2","","41-051-0074","AQS","49",".","50",".",".","25"
"02/11/1987","67","CO","","53-011-0010","AQS","67",".","11",".",".","41"
"02/12/1987","66","CO","","53-011-0010","AQS","66",".","19",".",".","36"
"02/13/1987","44","CO","","41-051-1002","AQS","44",".","9",".",".","19"
"02/14/1987","45","CO","","41-051-0075","AQS","45",".","20","19",".","27"
"02/15/1987","32","CO","","53-011-0010","AQS","32",".","3",".",".","18"
"02/16/1987","32","CO","","41-051-1002","AQS","32",".","7",".",".","31"
"02/17/1987","42","CO","","41-051-1002","AQS","42",".","13",".",".","27"
"02/18/1987","44","CO","","41-051-0075","AQS","44",".","20",".",".","."
"02/19/1987","60","CO","","53-011-0010","AQS","60",".","14",".",".","."
"02/20/1987","69","CO","","53-011-0010","AQS","69",".","17","63",".","46"
"02/21/1987","102","NO2","Portland - SE Lafayette","41-051-0080","AQS","59",".","27",".",".","102"
"02/22/1987","52","NO2","Portland - SE Lafayette","41-051-0080","AQS","49",".","14",".",".","52"
"02/23/1987","74","SO2","","41-051-0074","AQS","40",".","74",".",".","61"
"02/24/1987","64","SO2","","41-051-0074","AQS","42",".","64",".",".","46"
"02/25/1987","50","CO","","53-011-0010","AQS","50",".","44",".",".","42"
"02/26/1987","85","PM10","","41-051-0009","AQS","40",".","10","85",".","42"
"02/27/1987","40","NO2","Portland - SE Lafayette","41-051-0080","AQS","36",".","16",".",".","40"
"02/28/1987","39","CO","","41-051-1002","AQS","39",".","36",".",".","32"
"03/01/1987","29","NO2","Portland - SE Lafayette","41-051-0080","AQS","20",".","1",".",".","29"
"03/02/1987","69","CO","","41-051-0078","AQS","69",".","4",".",".","36"
"03/03/1987","77","CO","","41-051-0078","AQS","77",".","9",".",".","27"
"03/04/1987","108","CO","","41-051-0078","AQS","108",".","39","56",".","46"
"03/05/1987","59","CO","","41-051-0075","AQS","59",".","47",".",".","27"
"03/06/1987","47","CO","","41-051-0075","AQS","47",".","10",".",".","37"
"03/07/1987","49","CO","","53-011-0010","AQS","49",".","27",".",".","32"
"03/08/1987","47","NO2","Portland - SE Lafayette","41-051-0080","AQS","24",".","20",".",".","47"
"03/09/1987","83","NO2","Portland - SE Lafayette","41-051-0080","AQS","64",".","29",".",".","83"
"03/10/1987","47","CO","","41-051-0075","AQS","47",".","41","36",".","46"
