"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2018","103","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","3","26",".",".","103","8"
"01/02/2018","68","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","26",".","6","68","5"
"01/03/2018","60","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","22",".",".","60","5"
"01/04/2018","56","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","21",".",".","56","9"
"01/05/2018","39","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","30",".","6","39","19"
"01/06/2018","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15","26",".",".","48","24"
"01/07/2018","55","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","18","9",".",".","55","20"
"01/08/2018","56","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","9",".","11","56","22"
"01/09/2018","35","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","14",".",".","35","26"
"01/10/2018","30","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","20","0",".","30","25"
"01/11/2018","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","31",".","2","10","24"
"01/12/2018","33","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","31",".",".","33","29"
"01/13/2018","58","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","22",".",".","58","25"
"01/14/2018","55","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","3","22",".","6","55","3"
"01/15/2018","19","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","19","0",".","17","10"
"01/16/2018","43","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","31",".",".","43","26"
"01/17/2018","41","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","32",".","6","41","23"
"01/18/2018","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","31",".",".","12","21"
"01/19/2018","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","30","0",".","8","17"
"01/20/2018","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","35","0","5","14","10"
"01/21/2018","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","36","0",".","13","24"
"01/22/2018","27","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","25","0",".","27","23"
"01/23/2018","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","29","0","4","24","20"
"01/24/2018","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","30","0",".","11","20"
"01/25/2018","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","31","0",".","8","19"
"01/26/2018","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","31","0","5","9","18"
"01/27/2018","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","30","0",".","18","25"
"01/28/2018","29","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","22","0",".","29","21"
"01/29/2018","50","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","28","1",".","50","22"
"01/30/2018","32","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","3","31","0",".","31","32"
"01/31/2018","32","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","6","19","0",".","32","26"
"02/01/2018","40","PM2.5","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","7","22","0","12","40","26"
