"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"07/26/1981","108","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","30","108","85",".","43"
"07/27/1981","110","SO2","","41-051-0074","AQS","59","105","110",".","41"
"07/28/1981","120","SO2","","41-051-0074","AQS","55","29","120",".","20"
"07/29/1981","67","CO","","41-051-0078","AQS","67","19","52",".","25"
"07/30/1981","84","CO","","41-051-0078","AQS","84","26","70",".","22"
"07/31/1981","110","SO2","","41-051-0074","AQS","82","43","110",".","30"
"08/01/1981","84","SO2","","41-051-0074","AQS","38","46","84",".","34"
"08/02/1981","32","NO2","","41-051-0081","AQS","26","25","23",".","32"
"08/03/1981","66","CO","","41-051-0078","AQS","66","32","54",".","55"
"08/04/1981","75","SO2","","41-051-0074","AQS","69","44","75",".","."
"08/05/1981","154","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","82","154","109",".","."
"08/06/1981","213","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","92","213","103",".","."
"08/07/1981","210","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","84","210","104",".","57"
"08/08/1981","166","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","44","166","114",".","42"
"08/09/1981","90","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","53","90","72",".","44"
"08/10/1981","115","SO2","","41-051-0074","AQS","80","71","115",".","60"
"08/11/1981","258","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","65","258","86",".","55"
"08/12/1981","101","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","53","101","57",".","91"
"08/13/1981","100","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","56","100","60",".","93"
"08/14/1981","147","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","48","147","36",".","101"
"08/15/1981","104","SO2","","41-051-0074","AQS","36","77","104",".","55"
"08/16/1981","102","SO2","","41-051-0074","AQS","22","101","102",".","39"
"08/17/1981","112","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","43","112","79",".","41"
"08/18/1981","185","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","47","185","103",".","65"
"08/19/1981","54","CO","","41-051-1002","AQS","54","29","16",".","29"
"08/20/1981","70","SO2","","41-051-0074","AQS","44","34","70",".","32"
"08/21/1981","61","CO","","41-051-0078","AQS","61","48","43",".","34"
"08/22/1981","101","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","33","101","66",".","39"
"08/23/1981","108","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","27","108","102",".","27"
"08/24/1981","45","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","45","45","19",".","28"
"08/25/1981","39","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","39","39","16",".","36"
"08/26/1981","67","SO2","","41-051-0074","AQS","50","44","67",".","30"
"08/27/1981","86","SO2","","41-051-0074","AQS","48","44","86",".","36"
"08/28/1981","112","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","62","112","105",".","80"
"08/29/1981","50","CO","","41-051-0078","AQS","50","30","36",".","33"
"08/30/1981","66","SO2","","41-051-0074","AQS","30","33","66",".","21"
"08/31/1981","68","CO","","41-051-1002","AQS","68","40","21",".","47"
"09/01/1981","53","CO","","41-051-0078","AQS","53","29","39",".","33"
"09/02/1981","87","SO2","","41-051-0074","AQS","55","27","87",".","29"
"09/03/1981","95","SO2","","41-051-0074","AQS","56","32","95",".","60"
"09/04/1981","65","SO2","","41-051-0074","AQS","52","23","65",".","42"
"09/05/1981","86","SO2","","41-051-0074","AQS","36","37","86",".","30"
"09/06/1981","90","SO2","","41-051-0074","AQS","23","40","90",".","39"
"09/07/1981","112","SO2","","41-051-0074","AQS","42","87","112",".","49"
"09/08/1981","126","Ozone","","53-011-1001","AQS","73","126","31",".","90"
"09/09/1981","48","CO","","41-051-1002","AQS","48","36","31",".","44"
"09/10/1981","107","SO2","","41-051-0074","AQS","67","39","107",".","42"
"09/11/1981","130","CO","","41-051-0078","AQS","130","49","109",".","48"
"09/12/1981","110","SO2","","41-051-0074","AQS","67","45","110",".","46"
"09/13/1981","87","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","48","87","49",".","48"
"09/14/1981","97","SO2","","41-051-0074","AQS","78","87","97",".","87"
"09/15/1981","121","CO","","41-051-0078","AQS","121","115","67",".","104"
"09/16/1981","103","NO2","","41-051-0081","AQS","73","71","59",".","103"
"09/17/1981","86","NO2","","41-051-0081","AQS","49","40","56",".","86"
"09/18/1981","107","SO2","","41-051-0074","AQS","56","30","107",".","42"
