"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"10/02/2015","27","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","20","1",".","27","23"
"10/03/2015","28","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","23","0","13","28","19"
"10/04/2015","30","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","6","28","0",".","30","15"
"10/05/2015","35","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","7","35","1",".","31","29"
"10/06/2015","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","30","0","20","40","26"
"10/07/2015","54","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","11","1",".","54","25"
"10/08/2015","56","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","6","1",".","56","30"
"10/09/2015","52","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","10","15","1","21","52","20"
"10/10/2015","26","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","6","20","0",".","26","23"
"10/11/2015","35","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","24","1",".","35","25"
"10/12/2015","51","PM2.5","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","9","17","3","17","51","27"
"10/13/2015","37","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","19","4",".","37","29"
"10/14/2015","29","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","9","11","0",".","29","24"
"10/15/2015","34","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","9","34","1","25","34","26"
"10/16/2015","40","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","10","20","3",".","40","26"
"10/17/2015","68","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","15","1",".","68","22"
