"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"08/05/1983","61","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","44","61","16",".","."
"08/06/1983","90","Ozone","","53-011-1001","AQS","39","90","23",".","."
"08/07/1983","90","Ozone","","53-011-1001","AQS","26","90","30",".","."
"08/08/1983","44","CO","","41-051-0075","AQS","44","32","11",".","."
"08/09/1983","48","CO","","41-051-0078","AQS","48","43","21",".","."
"08/10/1983","38","CO","","41-051-0075","AQS","38","25","13","30","."
"08/11/1983","43","CO","","41-051-0075","AQS","43","16","10",".","."
"08/12/1983","57","CO","","41-051-0078","AQS","57","37","14",".","."
"08/13/1983","112","Ozone","","41-005-2001","AQS","36","112","33",".","."
"08/14/1983","31","Ozone","","53-011-1001","AQS","27","31","10",".","."
"08/15/1983","48","CO","","41-051-0078","AQS","48","33","10",".","."
"08/16/1983","47","CO","","41-051-0078","AQS","47","37","13","37","."
"08/17/1983","53","CO","","41-051-0078","AQS","53","35","17",".","."
"08/18/1983","50","CO","","41-051-0078","AQS","50","35","30",".","."
"08/19/1983","60","CO","","41-051-0078","AQS","60","35","39",".","."
"08/20/1983","40","CO","","41-051-0078","AQS","40","30","16",".","."
"08/21/1983","46","Ozone","","53-011-1001","AQS","25","46","17",".","."
"08/22/1983","58","PM10","","41-051-0015","AQS","38","38","13","58","."
"08/23/1983","68","CO","","41-051-0075","AQS","68","20","11",".","."
"08/24/1983","53","CO","","41-051-0078","AQS","53","23","7",".","."
"08/25/1983","63","CO","","41-051-0078","AQS","63","36","21",".","."
"08/26/1983","64","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","62","64","19",".","."
"08/27/1983","67","Ozone","","53-011-1001","AQS","36","67","21",".","."
"08/28/1983","34","PM10","Portland - SE Lafayette","41-051-0080","AQS","27","15","10","34","."
"08/29/1983","57","CO","","41-051-1002","AQS","57","10","7",".","."
"08/30/1983","68","CO","","41-051-0078","AQS","68","14","24",".","."
"08/31/1983","72","CO","","41-051-0078","AQS","72","20","20",".","."
"09/01/1983","43","CO","","41-051-1002","AQS","43","28","11",".","."
"09/02/1983","54","CO","","41-051-0078","AQS","54","36","16",".","."
"09/03/1983","49","CO","","41-051-0078","AQS","49","39","10","21","."
"09/04/1983","29","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","24","29","9","11","."
"09/05/1983","40","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","40","9","17","."
"09/06/1983","53","CO","","41-051-0078","AQS","53","34","14",".","."
"09/07/1983","49","CO","","41-051-0078","AQS","49","36","23",".","."
"09/08/1983","41","CO","","41-051-0078","AQS","41","27","11",".","."
"09/09/1983","60","CO","","41-051-0078","AQS","60","34","19","30","."
"09/10/1983","48","CO","","41-051-0078","AQS","48","27","6",".","."
"09/11/1983","38","CO","","41-051-1002","AQS","38","32","13",".","."
"09/12/1983","68","CO","","41-051-0078","AQS","68","28","23",".","."
"09/13/1983","67","CO","","41-051-0078","AQS","67","49","29",".","."
"09/14/1983","53","CO","","41-051-0078","AQS","53","24","16",".","."
"09/15/1983","60","CO","","41-051-0078","AQS","60","34","17","43","."
"09/16/1983","53","CO","","41-051-0078","AQS","53","26","9",".","."
"09/17/1983","44","CO","","41-051-0078","AQS","44","35","10",".","."
"09/18/1983","26","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","26","6",".","."
"09/19/1983","38","CO","","41-051-0078","AQS","38","31","11",".","."
"09/20/1983","37","Ozone","","53-011-1001","AQS","28","37","14",".","."
"09/21/1983","44","PM10","","41-051-0015","AQS","39","37","7","44","."
"09/22/1983","79","CO","","41-051-0078","AQS","79","43","39",".","."
"09/23/1983","69","CO","","41-051-0078","AQS","69","42","34",".","."
"09/24/1983","46","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","36","46","14",".","."
"09/25/1983","52","CO","","41-051-0075","AQS","52","38","20",".","."
"09/26/1983","65","CO","","41-051-1002","AQS","65","27","24",".","."
"09/27/1983","41","CO","","41-051-0078","AQS","41","33","10","37","."
"09/28/1983","64","SO2","","41-051-0015","AQS","47","30","64",".","."
"09/29/1983","41","CO","","41-051-0078","AQS","41","31","24",".","."
"09/30/1983","60","CO","","41-051-0078","AQS","60","31","23",".","."
"10/01/1983","52","CO","","41-051-0078","AQS","52","38","27",".","."
"10/02/1983","44","CO","","41-051-0078","AQS","44","25","9",".","."
"10/03/1983","50","CO","","41-051-0078","AQS","50","25","16","38","."
"10/04/1983","43","CO","","41-051-0078","AQS","43","28","14",".","."
"10/05/1983","51","CO","","41-051-0078","AQS","51","30","19",".","."
"10/06/1983","52","CO","","41-051-0078","AQS","52","30","36",".","."
"10/07/1983","56","CO","","41-051-0078","AQS","56","31","17",".","."
"10/08/1983","45","CO","","41-051-0075","AQS","45","32","27",".","."
"10/09/1983","53","PM10","Portland - SE Lafayette","41-051-0080","AQS","40","23","16","53","."
"10/10/1983","55","CO","","41-051-0078","AQS","55","33","21",".","."
"10/11/1983","67","CO","","41-051-0078","AQS","67","23","31",".","."
"10/12/1983","59","CO","","41-051-0078","AQS","59","28","43",".","."
"10/13/1983","56","CO","","41-051-0078","AQS","56","25","20",".","."
"10/14/1983","72","CO","","41-051-0075","AQS","72","24","24",".","."
"10/15/1983","64","CO","","41-051-0075","AQS","64","28","33","63","."
"10/16/1983","69","CO","","41-051-0075","AQS","69","20","24",".","."
"10/17/1983","98","CO","","41-051-0075","AQS","98","23","21",".","."
"10/18/1983","90","CO","","41-051-0075","AQS","90","9","19",".","."
"10/19/1983","64","CO","","41-051-0075","AQS","64","11","27",".","."
"10/20/1983","81","CO","","41-051-0078","AQS","81","24","37",".","."
"10/21/1983","76","CO","","41-051-0075","AQS","76","18","20","55","."
"10/22/1983","54","CO","","41-051-0075","AQS","54","24","13",".","."
"10/23/1983","38","CO","","41-051-0075","AQS","38","20","21",".","."
"10/24/1983","84","CO","","41-051-0078","AQS","84","20","52",".","."
"10/25/1983","94","CO","","41-051-0078","AQS","94","28","46",".","."
"10/26/1983","120","CO","","41-051-0078","AQS","120","26","47",".","."
"10/27/1983","116","CO","","41-051-0075","AQS","116","20","37","81","."
"10/28/1983","89","CO","","41-051-0075","AQS","89","6","27",".","."
"10/29/1983","74","CO","","53-011-0008","AQS","74","5","13",".","."
"10/30/1983","52","PM10","Portland - SE Lafayette","41-051-0080","AQS","41","20","14","52","."
"10/31/1983","94","CO","","41-051-0078","AQS","94","20","31",".","."
"11/01/1983","81","CO","","41-051-0078","AQS","81","27","31",".","."
"11/02/1983","49","CO","","41-051-1002","AQS","49","30","6","22","."
"11/03/1983","49","CO","","41-051-1002","AQS","49","29","6",".","."
"11/04/1983","86","CO","","41-051-0075","AQS","86","29","19",".","."
"11/05/1983","88","CO","","41-051-0075","AQS","88","27","20","61","."
"11/06/1983","29","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","27","29","6",".","."
"11/07/1983","53","CO","","41-051-1002","AQS","53","26","11",".","."
"11/08/1983","68","CO","","41-051-0075","AQS","68","15","39","48","."
"11/09/1983","83","CO","","41-051-0075","AQS","83","18","30",".","."
"11/10/1983","70","CO","","41-051-0078","AQS","70","28","17","20","."
"11/11/1983","51","CO","","41-051-1002","AQS","51","28","9",".","."
"11/12/1983","51","CO","","41-051-1002","AQS","51","30","6",".","."
"11/13/1983","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","30","1",".","."
"11/14/1983","62","CO","","41-051-1002","AQS","62","28","11","27","."
"11/15/1983","142","CO","","41-051-0078","AQS","142","24","29",".","."
"11/16/1983","56","CO","","41-051-0078","AQS","56","29","9",".","."
"11/17/1983","50","CO","","41-051-1002","AQS","50","30","4","11","."
"11/18/1983","56","CO","","41-051-1002","AQS","56","26","11",".","."
"11/19/1983","51","CO","","41-051-1002","AQS","51","29","7",".","."
"11/20/1983","28","CO","","41-051-1002","AQS","28","27","6","16","."
"11/21/1983","147","CO","","41-051-0075","AQS","147","19","41",".","."
"11/22/1983","145","CO","","41-051-0075","AQS","145","12","20",".","."
"11/23/1983","80","CO","","41-051-0075","AQS","80","17","17","22","."
"11/24/1983","44","CO","","41-051-0078","AQS","44","30","10",".","."
"11/25/1983","41","CO","","41-051-1002","AQS","41","26","7",".","."
"11/26/1983","32","CO","","41-051-0078","AQS","32","24","6","19","."
"11/27/1983","48","CO","","41-051-0075","AQS","48","23","19",".","."
"11/28/1983","57","CO","","41-051-0078","AQS","57","19","20",".","."
"11/29/1983","50","CO","","41-051-0075","AQS","50","25","26","31","."
"11/30/1983","49","CO","","41-051-0075","AQS","49","21","19",".","."
"12/01/1983","60","CO","","41-051-0075","AQS","60","20","17",".","."
"12/02/1983","97","CO","","41-051-0075","AQS","97","11","50","44","."
"12/03/1983","59","CO","","41-051-0075","AQS","59","10","39",".","."
"12/04/1983","43","CO","","41-051-0075","AQS","43","25","17",".","."
"12/05/1983","64","CO","","41-051-1002","AQS","64","26","9",".","."
"12/06/1983","78","CO","","41-051-0075","AQS","78","25","36","22","."
"12/07/1983","53","CO","","41-051-1002","AQS","53","30","10",".","."
"12/08/1983","69","CO","","41-051-0078","AQS","69","27","16","25","."
"12/09/1983","80","CO","","41-051-0075","AQS","80","26","14",".","."
"12/10/1983","48","CO","","41-051-0078","AQS","48","26","6",".","."
"12/11/1983","57","PM10","Portland - SE Lafayette","41-051-0080","AQS","44","15","30","57","."
"12/12/1983","47","CO","","41-051-1002","AQS","47","27","21",".","."
"12/13/1983","58","CO","","41-051-1002","AQS","58","27","13",".","."
"12/14/1983","80","CO","","41-051-0078","AQS","80","29","21","54","."
"12/15/1983","75","CO","","41-051-1002","AQS","75","14","56",".","."
"12/16/1983","84","CO","","41-051-0078","AQS","84","25","34",".","."
"12/17/1983","38","CO","","41-051-0075","AQS","38","25","9","29","."
"12/18/1983","50","CO","","41-051-0075","AQS","50","18","29",".","."
"12/19/1983","62","CO","","41-051-0078","AQS","62","22","24",".","."
"12/20/1983","52","PM10","Portland - SE Lafayette","41-051-0080","AQS","47","29","20","52","."
"12/21/1983","52","CO","","41-051-0078","AQS","52","30","19",".","."
"12/22/1983","52","CO","","41-051-0075","AQS","52","29","21","29","."
"12/23/1983","48","CO","","41-051-0078","AQS","48","30","19",".","."
"12/24/1983","32","Ozone","","41-005-2001","AQS","20","32","10",".","."
"12/25/1983","32","Ozone","","41-005-2001","AQS","10","32","11",".","."
"12/26/1983","108","PM10","Portland - SE Lafayette","41-051-0080","AQS","47","15","57","108","."
"12/27/1983","63","CO","","41-051-0075","AQS","63","9","41",".","."
"12/28/1983","34","CO","","41-051-0075","AQS","34","26","19",".","."
"12/29/1983","35","CO","","41-051-0078","AQS","35","23","24","29","."
"12/30/1983","148","CO","","41-051-0078","AQS","148","27","61",".","."
"12/31/1983","80","CO","","41-051-0078","AQS","80","24","43",".","."
