"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/1985","58","PM10","","41-051-0015","AQS","44","18","31","58",".","17"
"01/02/1985","59","CO","","53-011-0008","AQS","59","22","20","19",".","12"
"01/03/1985","52","PM10","","41-051-0015","AQS","38","20","11","52",".","14"
"01/04/1985","51","CO","","41-051-0075","AQS","51","19","9","34",".","17"
"01/05/1985","61","CO","","41-051-0075","AQS","61","14","34","56",".","16"
"01/06/1985","51","PM10","Portland - SE Lafayette","41-051-0080","AQS","45","19","7","51",".","13"
"01/07/1985","56","CO","","41-051-0075","AQS","56","19","16","44",".","20"
"01/08/1985","84","CO","","53-011-0008","AQS","84","9","67","73",".","24"
"01/09/1985","84","CO","","53-011-0008","AQS","84","12","24","43",".","17"
"01/10/1985","47","PM10","","41-051-0015","AQS","47","17","23","47",".","12"
"01/11/1985","49","CO","","53-011-0008","AQS","49","18","13","18",".","14"
"01/12/1985","44","CO","","53-011-0008","AQS","44","18","10","21",".","11"
"01/13/1985","51","PM10","Portland - SE Lafayette","41-051-0080","AQS","25","17","7","51",".","11"
"01/14/1985","75","CO","","41-051-0075","AQS","75","7","46","52",".","22"
"01/15/1985","78","CO","","41-051-0078","AQS","78","8","40","61",".","26"
"01/16/1985","54","CO","","41-051-0075","AQS","54","9","27","46",".","17"
"01/17/1985","88","CO","","41-051-0078","AQS","88","10","77","61",".","33"
"01/18/1985","82","CO","","41-051-0078","AQS","82","6","57",".",".","30"
"01/19/1985","76","PM10","","41-051-0015","AQS","72","4","49","76",".","17"
"01/20/1985","65","CO","","41-051-0075","AQS","65","11","29",".",".","28"
"01/21/1985","67","CO","","41-051-0078","AQS","67","21","36","23",".","18"
"01/22/1985","55","CO","","53-011-0008","AQS","55","17","14","31",".","14"
"01/23/1985","51","CO","","53-011-0008","AQS","51","18","19","11",".","13"
"01/24/1985","51","CO","","53-011-0008","AQS","51","17","19","14",".","18"
"01/25/1985","56","PM10","","41-051-0015","AQS","47","19","37","56",".","20"
"01/26/1985","40","CO","","41-051-0075","AQS","40","19","17","18",".","."
"01/27/1985","63","PM10","Portland - SE Lafayette","41-051-0080","AQS","40","10","36","63",".","."
"01/28/1985","61","PM10","","41-051-0015","AQS","43","14","43","61",".","."
"01/29/1985","65","PM10","Portland - SE Lafayette","41-051-0080","AQS","62","16","31","65",".","33"
"01/30/1985","81","PM10","Portland - SE Lafayette","41-051-0080","AQS","70","9","44","81",".","25"
"01/31/1985","68","PM10","","41-051-0015","AQS","57","11","36","68",".","33"
"02/01/1985","56","CO","","41-051-0075","AQS","56","24","16","31",".","31"
"02/02/1985","50","PM10","Portland - SE Lafayette","41-051-0080","AQS","36","30","10","50",".","19"
"02/03/1985","51","PM10","Portland - SE Lafayette","41-051-0080","AQS","24","33","19","51",".","22"
"02/04/1985","53","CO","","41-051-1002","AQS","53","30","29","36",".","40"
"02/05/1985","58","PM10","Portland - SE Lafayette","41-051-0080","AQS","54","29","29","58",".","42"
"02/06/1985","57","PM10","","41-051-0015","AQS","57","33","30","57",".","32"
"02/07/1985","59","CO","","41-051-1002","AQS","59","33","16","26",".","42"
"02/08/1985","66","CO","","41-051-1002","AQS","66","34","11","19",".","36"
"02/09/1985","50","CO","","41-051-1002","AQS","50","33","10","15",".","20"
"02/10/1985","35","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","35","7","16",".","35"
"02/11/1985","38","NO2","Portland - SE Lafayette","41-051-0080","AQS","36","29","16","31",".","38"
"02/12/1985","69","PM10","","41-051-0015","AQS","62","22","59","69",".","58"
"02/13/1985","64","SO2","","41-051-0015","AQS","54","20","64","38",".","38"
"02/14/1985","91","CO","","41-051-1002","AQS","91","20","24","70",".","33"
"02/15/1985","70","CO","","41-051-0078","AQS","70","31","41","58",".","47"
"02/16/1985","51","PM10","Portland - SE Lafayette","41-051-0080","AQS","51","23","27","51",".","41"
"02/17/1985","62","PM10","Portland - SE Lafayette","41-051-0080","AQS","59","21","39","62",".","42"
"02/18/1985","72","PM10","","41-051-0015","AQS","63","17","44","72",".","55"
"02/19/1985","52","CO","","41-051-1002","AQS","52","31","11","23",".","37"
"02/20/1985","51","CO","","41-051-0075","AQS","51","29","20","30",".","."
"02/21/1985","45","CO","","41-051-0075","AQS","45","25","10","32",".","."
"02/22/1985","59","CO","","41-051-0075","AQS","59","25","26","31",".","39"
"02/23/1985","50","CO","","41-051-0075","AQS","50","26","23","37",".","36"
"02/24/1985","40","NO2","Portland - SE Lafayette","41-051-0080","AQS","31","29","13","33",".","40"
"02/25/1985","45","NO2","Portland - SE Lafayette","41-051-0080","AQS","39","28","37","44",".","45"
"02/26/1985","50","CO","","41-051-0078","AQS","50","23","31","34",".","39"
"02/27/1985","64","PM10","","41-051-0015","AQS","62","21","36","64",".","54"
"02/28/1985","59","PM10","Portland - SE Lafayette","41-051-0080","AQS","55","28","29","59",".","46"
"03/01/1985","44","CO","","41-051-0078","AQS","44","29","24","27",".","36"
"03/02/1985","54","PM10","","41-051-0015","AQS","35","33","23","54",".","45"
"03/03/1985","41","NO2","Portland - SE Lafayette","41-051-0080","AQS","31","30","11","28",".","41"
"03/04/1985","52","CO","","41-051-1002","AQS","52","31","7","10",".","20"
"03/05/1985","44","CO","","41-051-1002","AQS","44","29","10","39",".","41"
"03/06/1985","70","CO","","41-051-0075","AQS","70","27","43","59",".","55"
"03/07/1985","66","CO","","41-051-0075","AQS","66","28","36","30",".","39"
"03/08/1985","63","PM10","","41-051-0015","AQS","48","31","36","63",".","35"
"03/09/1985","60","SO2","","41-051-0015","AQS","48","31","60","31",".","54"
"03/10/1985","48","CO","","41-051-0075","AQS","48","33","36","33",".","42"
"03/11/1985","60","SO2","","41-051-0015","AQS","47","31","60","44",".","."
"03/12/1985","60","PM10","Portland - SE Lafayette","41-051-0080","AQS","56","31","36","60",".","."
"03/13/1985","53","CO","","41-051-0075","AQS","53","34","46","45",".","."
"03/14/1985","64","PM10","","41-051-0015","AQS","47","30","41","64",".","."
"03/15/1985","69","CO","","41-051-0078","AQS","69","24","34","46",".","52"
"03/16/1985","56","CO","","41-051-0078","AQS","56","35","33","48",".","44"
"03/17/1985","55","PM10","Portland - SE Lafayette","41-051-0080","AQS","33","29","20","55",".","44"
"03/18/1985","56","PM10","Portland - SE Lafayette","41-051-0080","AQS","45","29","20","56",".","35"
"03/19/1985","42","PM10","Portland - SE Lafayette","41-051-0080","AQS","36","31","17","42",".","."
"03/20/1985","32","CO","","41-051-1002","AQS","32","31","6","18",".","."
"03/21/1985","37","Ozone","","53-011-1001","AQS","36","37","6","14",".","36"
"03/22/1985","49","CO","","41-051-1002","AQS","49","31","6","14",".","28"
"03/23/1985","36","CO","","41-051-1002","AQS","36","31","4","14",".","27"
"03/24/1985","35","NO2","Portland - SE Lafayette","41-051-0080","AQS","33","31","3","17",".","35"
"03/25/1985","43","PM10","","41-051-0085","AQS","36","30","9","43",".","38"
"03/26/1985","63","CO","","41-051-1002","AQS","63","33","11","24",".","28"
"03/27/1985","44","CO","","41-051-1002","AQS","44","35","9","11",".","31"
"03/28/1985","43","CO","","41-051-0078","AQS","43","37","20","29",".","42"
"03/29/1985","48","CO","","41-051-1002","AQS","48","30","19","26",".","29"
"03/30/1985","30","CO","","41-051-0075","AQS","30","26","1","7",".","16"
"03/31/1985","33","CO","","41-051-1002","AQS","33","21","4","10",".","17"
"04/01/1985","54","CO","","41-051-0078","AQS","54","19","41","44",".","28"
"04/02/1985","52","CO","","41-051-0078","AQS","52","31","27",".",".","36"
