"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2011","124","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","5",".","21",".","124","6"
"01/02/2011","152","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","5",".","4",".","152","6"
"01/03/2011","152","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3",".","3","25","152","11"
"01/04/2011","130","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16","10","10",".","130","31"
"01/05/2011","127","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","2","6",".","127","25"
"01/06/2011","85","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","16","2","6","25","85","21"
"01/07/2011","68","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","7","3",".","68","26"
"01/08/2011","60","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","16","3",".","60","21"
"01/09/2011","41","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","18","1","9","41","20"
"01/10/2011","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","22","1",".","33","18"
"01/11/2011","26","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","21","1",".","26","8"
"01/12/2011","32","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","21","3","12","32","21"
"01/13/2011","24","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","24","0",".","13","11"
"01/14/2011","24","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","24","0",".","10","4"
"01/15/2011","23","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","23","1","7","23","15"
"01/16/2011","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","31","0",".","8","3"
"01/17/2011","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","31","0",".","28","20"
"01/18/2011","38","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","17","11","8","38","25"
"01/19/2011","64","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","12","3",".","64","23"
