"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"01/01/1982","41","CO","","41-051-0075","AQS","41","25","19",".","."
"01/02/1982","44","CO","","41-051-1002","AQS","44","28","19",".","."
"01/03/1982","33","CO","","41-051-1002","AQS","33","28","6",".","."
"01/04/1982","52","CO","","41-051-1002","AQS","52","25","27",".","."
"01/05/1982","109","SO2","","41-051-0074","AQS","39","28","109",".","."
"01/06/1982","86","SO2","","41-051-0074","AQS","59","22","86",".","."
"01/07/1982","86","CO","","41-051-1002","AQS","86","5","31",".","."
"01/08/1982","111","CO","","41-051-0075","AQS","111","6","82",".","."
"01/09/1982","116","CO","","41-051-0075","AQS","116","2","62",".","."
"01/10/1982","55","SO2","","41-051-0015","AQS","53","2","55",".","."
"01/11/1982","88","CO","","41-051-0078","AQS","88","10","39",".","."
"01/12/1982","88","CO","","41-051-0078","AQS","88","12","84",".","."
"01/13/1982","120","CO","","41-051-0078","AQS","120","14","56",".","."
"01/14/1982","116","CO","","41-051-0078","AQS","116","18","30",".","."
"01/15/1982","86","CO","","41-051-1002","AQS","86","19","20",".","."
"01/16/1982","62","CO","","41-051-0078","AQS","62","28","10",".","."
"01/17/1982","30","CO","","41-051-1002","AQS","30","27","9",".","."
"01/18/1982","63","CO","","53-011-0008","AQS","63","22","56",".","."
"01/19/1982","70","CO","","41-051-1002","AQS","70","23","13",".","."
"01/20/1982","62","CO","","41-051-0075","AQS","62","19","13",".","."
"01/21/1982","54","CO","","41-051-1002","AQS","54","26","20",".","."
"01/22/1982","63","CO","","41-051-1002","AQS","63","30","7",".","."
"01/23/1982","34","CO","","41-051-1002","AQS","34","31","3",".","."
"01/24/1982","47","CO","","41-051-0075","AQS","47","31","29",".","."
"01/25/1982","120","CO","","41-051-1002","AQS","120","25","34",".","."
"01/26/1982","63","CO","","41-051-1002","AQS","63","24","6",".","."
"01/27/1982","81","CO","","41-051-1002","AQS","81","14","17",".","."
"01/28/1982","82","CO","","41-051-1002","AQS","82","10","54",".","."
"01/29/1982","74","CO","","41-051-1002","AQS","74","4","13",".","."
"01/30/1982","58","CO","","41-051-1002","AQS","58","28","10",".","."
"01/31/1982","30","CO","","41-051-1002","AQS","30","23","27",".","."
"02/01/1982","69","CO","","41-051-1002","AQS","69","10","27",".","."
"02/02/1982","78","CO","","41-051-1002","AQS","78","19","13",".","."
"02/03/1982","55","CO","","41-051-0075","AQS","55","30","36",".","."
"02/04/1982","42","CO","","41-051-0075","AQS","42","30","27",".","."
"02/05/1982","39","CO","","41-051-0078","AQS","39","23","36",".","."
"02/06/1982","39","CO","","41-051-0075","AQS","39","22","9",".","."
"02/07/1982","57","SO2","","41-051-0074","AQS","31","31","57",".","."
"02/08/1982","66","CO","","53-011-0008","AQS","66","28","49",".","."
"02/09/1982","60","CO","","41-051-0075","AQS","60","30","21",".","."
"02/10/1982","78","CO","","41-051-1002","AQS","78","30","37",".","."
"02/11/1982","68","CO","","41-051-1002","AQS","68","31","33",".","."
"02/12/1982","91","CO","","41-051-1002","AQS","91","30","16",".","."
"02/13/1982","81","CO","","41-051-1002","AQS","81","24","14",".","."
"02/14/1982","42","CO","","41-051-1002","AQS","42","31","6",".","."
"02/15/1982","71","CO","","41-051-1002","AQS","71","32","9",".","."
"02/16/1982","62","CO","","41-051-1002","AQS","62","32","6",".","."
"02/17/1982","71","CO","","41-051-0075","AQS","71","31","16",".","."
"02/18/1982","80","CO","","41-051-1002","AQS","80","22","40",".","."
"02/19/1982","64","CO","","41-051-1002","AQS","64","26","13",".","."
"02/20/1982","60","CO","","41-051-1002","AQS","60","27","14",".","."
"02/21/1982","34","CO","","41-051-0075","AQS","34","30","23",".","."
"02/22/1982","62","CO","","41-051-1002","AQS","62","31","6",".","."
