"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"02/23/1982","59","CO","","41-051-1002","AQS","59","31","17",".","."
"02/24/1982","59","CO","","41-051-0075","AQS","59","27","37",".","."
"02/25/1982","68","CO","","41-051-1002","AQS","68","18","36",".","."
"02/26/1982","91","CO","","41-051-1002","AQS","91","27","29",".","."
"02/27/1982","60","CO","","41-051-0075","AQS","60","23","37",".","."
"02/28/1982","65","CO","","53-011-0008","AQS","65","16","47",".","."
"03/01/1982","69","CO","","41-051-1002","AQS","69","31","14",".","."
"03/02/1982","57","CO","","41-051-1002","AQS","57","31","14",".","."
"03/03/1982","59","CO","","41-051-1002","AQS","59","28","7",".","."
"03/04/1982","58","CO","","41-051-0075","AQS","58","29","52",".","."
"03/05/1982","66","CO","","41-051-0075","AQS","66","28","61",".","."
"03/06/1982","75","CO","Portland - SE Lafayette","41-051-0080","AQS","75","27","60",".","."
"03/07/1982","92","SO2","","41-051-0074","AQS","92","29","92",".","."
"03/08/1982","79","CO","","41-051-0075","AQS","79","28","72",".","."
"03/09/1982","50","CO","","41-051-0075","AQS","50","31","16",".","."
"03/10/1982","52","CO","","41-051-1002","AQS","52","35","40",".","."
"03/11/1982","39","SO2","","41-051-0074","AQS","33","35","39",".","."
"03/12/1982","61","CO","","41-051-1002","AQS","61","32","14",".","."
"03/13/1982","50","SO2","","41-051-0074","AQS","47","29","50",".","."
"03/14/1982","87","SO2","","41-051-0074","AQS","28","30","87",".","."
"03/15/1982","56","CO","","41-051-1002","AQS","56","32","9",".","."
"03/16/1982","62","SO2","","41-051-0074","AQS","43","30","62",".","."
"03/17/1982","92","SO2","","41-051-0074","AQS","53","34","92",".","."
"03/18/1982","92","SO2","","41-051-0074","AQS","57","35","92",".","."
"03/19/1982","56","SO2","","41-051-0074","AQS","41","36","56",".","."
"03/20/1982","54","SO2","","41-051-0074","AQS","44","32","54",".","."
"03/21/1982","55","CO","Portland - SE Lafayette","41-051-0080","AQS","55","37","31",".","."
"03/22/1982","68","CO","","41-051-0078","AQS","68","35","52",".","."
"03/23/1982","66","SO2","","41-051-0074","AQS","56","40","66",".","."
"03/24/1982","55","CO","","41-051-0078","AQS","55","38","50",".","."
"03/25/1982","43","CO","","41-051-1002","AQS","43","33","19",".","."
"03/26/1982","54","CO","","41-051-1002","AQS","54","36","7",".","."
"03/27/1982","40","CO","","41-051-1002","AQS","40","36","11",".","."
"03/28/1982","33","CO","","41-051-1002","AQS","33","32","4",".","."
"03/29/1982","51","CO","","41-051-0078","AQS","51","32","34",".","."
"03/30/1982","63","CO","","41-051-1002","AQS","63","33","6",".","."
"03/31/1982","62","CO","","41-051-1002","AQS","62","35","54",".","."
"04/01/1982","49","CO","","41-051-1002","AQS","49","33","27",".","."
"04/02/1982","58","CO","","41-051-1002","AQS","58","36","9",".","."
"04/03/1982","44","CO","","41-051-1002","AQS","44","38","6",".","."
"04/04/1982","35","CO","","41-051-1002","AQS","35","34","6",".","."
"04/05/1982","61","CO","","41-051-0075","AQS","61","32","23",".","."
"04/06/1982","52","CO","","41-051-0078","AQS","52","33","43",".","."
"04/07/1982","43","CO","","41-051-0078","AQS","43","36","34",".","."
"04/08/1982","82","SO2","","41-051-0074","AQS","52","40","82",".","."
"04/09/1982","104","SO2","","41-051-0074","AQS","67","44","104",".","."
"04/10/1982","71","SO2","","41-051-0074","AQS","55","31","71",".","."
"04/11/1982","47","CO","","41-051-0075","AQS","47","38","29",".","."
"04/12/1982","62","CO","","41-051-1002","AQS","62","39","10",".","."
"04/13/1982","60","CO","","41-051-1002","AQS","60","40","7",".","."
"04/14/1982","47","CO","","41-051-1002","AQS","47","35","10",".","."
"04/15/1982","51","CO","","41-051-0075","AQS","51","32","33",".","."
"04/16/1982","50","CO","","41-051-0075","AQS","50","33","20",".","."
"04/17/1982","37","Ozone","","53-011-1001","AQS","32","37","26",".","."
"04/18/1982","43","SO2","","41-051-0074","AQS","28","37","43",".","."
"04/19/1982","70","SO2","","41-051-0074","AQS","33","42","70",".","."
"04/20/1982","54","SO2","","41-051-0074","AQS","31","46","54",".","."
"04/21/1982","55","CO","","41-051-0078","AQS","55","45","29",".","."
"04/22/1982","77","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","58","77","43",".","."
"04/23/1982","103","SO2","","41-051-0074","AQS","41","42","103",".","."
"04/24/1982","72","SO2","","41-051-0074","AQS","23","47","72",".","."
"04/25/1982","58","Ozone","","53-011-1001","AQS","26","58","43",".","."
"04/26/1982","49","Ozone","","53-011-1001","AQS","40","49","29",".","."
"04/27/1982","50","CO","","41-051-1002","AQS","50","44","34",".","."
"04/28/1982","44","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","25","44","17",".","."
"04/29/1982","43","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","43","43","41",".","."
"04/30/1982","40","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","40","40","26",".","."
"05/01/1982","46","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","46","24",".","."
"05/02/1982","40","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","25","40","19",".","."
"05/03/1982","45","CO","","53-011-0008","AQS","45","38","13",".","."
"05/04/1982","44","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","38","44","41",".","."
"05/05/1982","91","SO2","","41-051-0074","AQS","51","44","91",".","."
"05/06/1982","95","SO2","","41-051-0074","AQS","48","35","95",".","."
"05/07/1982","94","SO2","","41-051-0074","AQS","43","37","94",".","."
"05/08/1982","74","SO2","","41-051-0074","AQS","30","40","74",".","."
"05/09/1982","34","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","24","34","31",".","."
"05/10/1982","47","CO","","53-011-0008","AQS","47","31","34",".","."
"05/11/1982","90","SO2","","41-051-0074","AQS","43","39","90",".","."
"05/12/1982","52","SO2","","41-051-0074","AQS","36","36","52",".","."
"05/13/1982","72","SO2","","41-051-0074","AQS","40","35","72",".","."
"05/14/1982","49","CO","","41-051-0078","AQS","49","48","43",".","."
"05/15/1982","54","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","33","54","19",".","."
"05/16/1982","56","SO2","","41-051-0074","AQS","31","44","56",".","."
"05/17/1982","38","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","36","38","36",".","."
"05/18/1982","37","Ozone","","53-011-1001","AQS","33","37","10",".","."
"05/19/1982","57","SO2","","41-051-0074","AQS","48","45","57",".","."
"05/20/1982","107","SO2","","41-051-0074","AQS","49","44","107",".","."
"05/21/1982","80","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","52","80","74",".","."
"05/22/1982","72","SO2","","41-051-0074","AQS","30","37","72",".","."
"05/23/1982","72","SO2","","41-051-0074","AQS","16","58","72",".","."
"05/24/1982","103","SO2","","41-051-0074","AQS","54","49","103",".","."
"05/25/1982","69","SO2","","41-051-0074","AQS","35","46","69",".","."
"05/26/1982","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","31","13",".","."
"05/27/1982","48","CO","","41-051-1002","AQS","48","31","13",".","."
"05/28/1982","59","SO2","","41-051-0074","AQS","49","36","59",".","."
"05/29/1982","54","SO2","","41-051-0074","AQS","31","41","54",".","."
"05/30/1982","49","SO2","","41-051-0074","AQS","30","46","49",".","."
"05/31/1982","57","SO2","","41-051-0074","AQS","28","40","57",".","."
"06/01/1982","71","SO2","","41-051-0074","AQS","52","35","71",".","."
"06/02/1982","52","CO","","41-051-1002","AQS","52","43","11",".","."
"06/03/1982","49","CO","","41-051-1002","AQS","49","36","16",".","."
"06/04/1982","59","CO","","41-051-1002","AQS","59","32","20",".","."
"06/05/1982","47","CO","","41-051-0078","AQS","47","31","36",".","."
"06/06/1982","36","SO2","","41-051-0074","AQS","27","35","36",".","."
"06/07/1982","103","SO2","","41-051-0074","AQS","47","30","103",".","."
"06/08/1982","111","SO2","","41-051-0074","AQS","55","44","111",".","."
"06/09/1982","97","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","61","97","92",".","."
"06/10/1982","179","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","70","179","67",".","."
"06/11/1982","105","SO2","","41-051-0074","AQS","56","30","105",".","."
"06/12/1982","56","SO2","","41-051-0074","AQS","48","17","56",".","."
"06/13/1982","50","SO2","","41-051-0074","AQS","31","22","50",".","."
"06/14/1982","50","SO2","","41-051-0074","AQS","43","27","50",".","."
"06/15/1982","92","SO2","","41-051-0074","AQS","47","71","92",".","."
"06/16/1982","74","SO2","","41-051-0074","AQS","48","45","74",".","."
"06/17/1982","133","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","53","133","92",".","."
"06/18/1982","126","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","68","126","62",".","."
"06/19/1982","143","Ozone","","41-005-2001","AQS","44","143","36",".","."
"06/20/1982","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","25","44","36",".","."
"06/21/1982","86","SO2","","41-051-0074","AQS","50","20","86",".","."
"06/22/1982","74","SO2","","41-051-0074","AQS","39","46","74",".","."
"06/23/1982","67","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","49","67","56",".","."
"06/24/1982","161","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","64","161","80",".","."
"06/25/1982","87","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","44","87","56",".","."
"06/26/1982","44","CO","","41-051-1002","AQS","44","20","23",".","."
"06/27/1982","41","CO","","41-051-1002","AQS","41","27","36",".","."
"06/28/1982","60","SO2","","41-051-0074","AQS","42","27","60",".","."
"06/29/1982","74","SO2","","41-051-0074","AQS","44","36","74",".","."
"06/30/1982","107","SO2","","41-051-0074","AQS","65","30","107",".","."
"07/01/1982","56","SO2","","41-051-0074","AQS","55","23","56",".","."
"07/02/1982","60","CO","","41-051-1002","AQS","60","19","11",".","."
"07/03/1982","50","SO2","","41-051-0074","AQS","47","26","50",".","."
"07/04/1982","26","CO","","41-051-1002","AQS","26","25","9",".","."
"07/05/1982","86","SO2","","41-051-0074","AQS","24","35","86",".","."
"07/06/1982","80","SO2","","41-051-0074","AQS","43","43","80",".","."
"07/07/1982","62","SO2","","41-051-0074","AQS","48","30","62",".","."
"07/08/1982","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","35","44","24",".","."
"07/09/1982","54","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","43","54","39",".","."
"07/10/1982","87","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","87","20",".","."
"07/11/1982","56","SO2","","41-051-0074","AQS","27","38","56",".","."
"07/12/1982","54","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","43","54","39",".","."
"07/13/1982","67","CO","","41-051-1002","AQS","67","21","46",".","."
"07/14/1982","74","SO2","","41-051-0074","AQS","41","28","74",".","."
"07/15/1982","46","SO2","","41-051-0074","AQS","40","20","46",".","."
"07/16/1982","90","SO2","","41-051-0074","AQS","54","39","90",".","."
"07/17/1982","97","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","28","97","67",".","."
"07/18/1982","60","SO2","","41-051-0074","AQS","30","33","60",".","."
"07/19/1982","49","SO2","","41-051-0074","AQS","40","41","49",".","."
"07/20/1982","92","SO2","","41-051-0074","AQS","47","42","92",".","."
"07/21/1982","43","SO2","","41-051-0074","AQS","42","34","43",".","."
"07/22/1982","86","SO2","","41-051-0074","AQS","48","42","86",".","."
"07/23/1982","92","SO2","","41-051-0074","AQS","52","50","92",".","."
"07/24/1982","177","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","177","56",".","."
"07/25/1982","150","Ozone","","41-005-2001","AQS","23","150","24",".","."
"07/26/1982","133","Ozone","","41-005-2001","AQS","57","133","27",".","."
"07/27/1982","77","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","59","77","29",".","."
"07/28/1982","42","CO","","41-051-0078","AQS","42","39","16",".","."
"07/29/1982","41","CO","","41-051-0078","AQS","41","37","9",".","."
"07/30/1982","36","CO","","41-051-0075","AQS","36","15","7",".","."
"07/31/1982","24","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","24","10",".","."
"08/01/1982","19","Ozone","","53-011-1001","AQS","18","19","6",".","."
"08/02/1982","48","CO","","41-051-1002","AQS","48","19","10",".","."
"08/03/1982","56","SO2","","41-051-0074","AQS","44","21","56",".","."
"08/04/1982","41","CO","","41-051-0078","AQS","41","39","20",".","."
"08/05/1982","51","CO","","41-051-1002","AQS","51","48","50",".","."
"08/06/1982","67","SO2","","41-051-0074","AQS","61","58","67",".","."
"08/07/1982","136","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","43","136","34",".","."
"08/08/1982","39","SO2","","41-051-0074","AQS","28","28","39",".","."
"08/09/1982","65","CO","","41-051-1002","AQS","65","13","56",".","."
"08/10/1982","60","CO","","41-051-1002","AQS","60","20","16",".","."
"08/11/1982","67","SO2","","41-051-0074","AQS","49","20","67",".","."
"08/12/1982","43","CO","","41-051-1002","AQS","43","27","36",".","."
"08/13/1982","51","CO","","41-051-0078","AQS","51","17","36",".","."
"08/14/1982","44","CO","","41-051-0075","AQS","44","27","36",".","."
"08/15/1982","67","SO2","","41-051-0074","AQS","23","35","67",".","."
"08/16/1982","44","CO","","41-051-0078","AQS","44","38","27",".","."
"08/17/1982","56","SO2","","41-051-0074","AQS","53","44","56",".","."
"08/18/1982","86","SO2","","41-051-0074","AQS","50","54","86",".","."
"08/19/1982","105","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","61","105","67",".","."
"08/20/1982","119","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","61","119","103",".","."
"08/21/1982","49","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","35","49","43",".","."
"08/22/1982","51","Ozone","","53-011-1001","AQS","23","51","36",".","."
"08/23/1982","77","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","59","77","56",".","."
"08/24/1982","107","SO2","","41-051-0074","AQS","73","71","107",".","."
"08/25/1982","87","Ozone","","53-011-1001","AQS","61","87","43",".","."
"08/26/1982","43","SO2","","41-051-0074","AQS","34","33","43",".","."
"08/27/1982","51","CO","","41-051-1002","AQS","51","26","36",".","."
"08/28/1982","41","CO","","41-051-1002","AQS","41","36","39",".","."
"08/29/1982","31","CO","","41-051-0078","AQS","31","22","29",".","."
"08/30/1982","57","CO","","41-051-0078","AQS","57","27","50",".","."
"08/31/1982","86","SO2","","41-051-0074","AQS","50","24","86",".","."
"09/01/1982","105","SO2","","41-051-0074","AQS","61","43","105",".","."
"09/02/1982","156","Ozone","","53-011-1001","AQS","74","156","67",".","."
"09/03/1982","59","CO","","41-051-1002","AQS","59","19","43",".","."
"09/04/1982","33","CO","","41-051-1002","AQS","33","20","27",".","."
"09/05/1982","80","SO2","","41-051-0074","AQS","19","27","80",".","."
"09/06/1982","50","SO2","","41-051-0074","AQS","16","40","50",".","."
"09/07/1982","57","CO","","41-051-0078","AQS","57","21","36",".","."
"09/08/1982","53","CO","","41-051-0078","AQS","53","40","43",".","."
"09/09/1982","74","SO2","","41-051-0074","AQS","57","24","74",".","."
"09/10/1982","47","CO","","41-051-1002","AQS","47","26","9",".","."
"09/11/1982","48","CO","","41-051-1002","AQS","48","11","20",".","."
"09/12/1982","92","SO2","","41-051-0074","AQS","39","25","92",".","."
"09/13/1982","92","SO2","","41-051-0074","AQS","50","28","92",".","."
"09/14/1982","46","SO2","","41-051-0074","AQS","34","30","46",".","."
"09/15/1982","103","SO2","","41-051-0074","AQS","57","26","103",".","."
"09/16/1982","62","SO2","","41-051-0074","AQS","55","35","62",".","."
"09/17/1982","74","CO","","41-051-0078","AQS","74","37","62",".","."
"09/18/1982","74","SO2","","41-051-0074","AQS","52","67","74",".","."
"09/19/1982","35","CO","","41-051-1002","AQS","35","25","16",".","."
"09/20/1982","65","CO","","41-051-1002","AQS","65","24","9",".","."
"09/21/1982","103","SO2","","41-051-0074","AQS","61","26","103",".","."
"09/22/1982","59","CO","","41-051-0078","AQS","59","24","56",".","."
"09/23/1982","72","CO","","41-051-0078","AQS","72","42","56",".","."
"09/24/1982","61","CO","","41-051-1002","AQS","61","30","39",".","."
"09/25/1982","57","CO","","41-051-1002","AQS","57","26","31",".","."
"09/26/1982","31","CO","","41-051-1002","AQS","31","27","21",".","."
"09/27/1982","52","CO","","41-051-1002","AQS","52","25","21",".","."
"09/28/1982","34","CO","","41-051-1002","AQS","34","31","1",".","."
"09/29/1982","72","CO","","41-051-0075","AQS","72","19","49",".","."
"09/30/1982","83","CO","","41-051-0075","AQS","83","24","64",".","."
"10/01/1982","81","SO2","","41-051-0074","AQS","63","26","81",".","."
"10/02/1982","52","SO2","","41-051-0074","AQS","44","24","52",".","."
"10/03/1982","64","SO2","","41-051-0074","AQS","48","21","64",".","."
"10/04/1982","56","SO2","","41-051-0074","AQS","54","21","56",".","."
"10/05/1982","59","CO","","41-051-0075","AQS","59","19","50",".","."
"10/06/1982","64","CO","","41-051-1002","AQS","64","30","13",".","."
"10/07/1982","59","CO","","41-051-1002","AQS","59","27","11",".","."
"10/08/1982","62","CO","","41-051-1002","AQS","62","19","16",".","."
"10/09/1982","71","SO2","","41-051-0074","AQS","42","25","71",".","."
"10/10/1982","36","SO2","","41-051-0074","AQS","22","30","36",".","."
"10/11/1982","67","CO","","41-051-0078","AQS","67","19","56",".","."
"10/12/1982","72","CO","","41-051-0078","AQS","72","20","47",".","."
"10/13/1982","83","CO","","41-051-0078","AQS","83","19","72",".","."
"10/14/1982","79","CO","","41-051-0078","AQS","79","31","75",".","."
"10/15/1982","72","SO2","","41-051-0074","AQS","71","27","72",".","."
"10/16/1982","47","CO","","41-051-0078","AQS","47","29","44",".","."
"10/17/1982","56","SO2","","41-051-0074","AQS","24","27","56",".","."
"10/18/1982","86","SO2","","41-051-0074","AQS","51","18","86",".","."
"10/19/1982","39","CO","","41-051-0075","AQS","39","27","36",".","."
"10/20/1982","67","CO","","41-051-1002","AQS","67","18","20",".","."
"10/21/1982","56","CO","","41-051-1002","AQS","56","10","16",".","."
"10/22/1982","80","CO","","41-051-1002","AQS","80","26","24",".","."
"10/23/1982","71","CO","","41-051-1002","AQS","71","22","40",".","."
"10/24/1982","63","CO","","41-051-1002","AQS","63","17","20",".","."
"10/25/1982","70","CO","","41-051-1002","AQS","70","28","21",".","."
"10/26/1982","60","CO","","41-051-1002","AQS","60","27","3",".","."
"10/27/1982","53","CO","","41-051-1002","AQS","53","16","4",".","."
"10/28/1982","65","CO","","41-051-1002","AQS","65","19","14",".","."
"10/29/1982","102","SO2","","41-051-0074","AQS","60","12","102",".","."
"10/30/1982","56","CO","","41-051-1002","AQS","56","16","36",".","."
"10/31/1982","39","CO","","41-051-1002","AQS","39","19","16",".","."
"11/01/1982","77","CO","","53-011-0008","AQS","77","17","50",".","."
"11/02/1982","72","SO2","","41-051-0074","AQS","53","17","72",".","."
"11/03/1982","75","CO","","41-051-1002","AQS","75","10","30",".","."
"11/04/1982","66","CO","","41-051-1002","AQS","66","19","14",".","."
"11/05/1982","64","CO","","41-051-1002","AQS","64","21","11",".","."
"11/06/1982","49","CO","","41-051-1002","AQS","49","19","9",".","."
"11/07/1982","36","CO","","41-051-0075","AQS","36","15","20",".","."
"11/08/1982","70","CO","","41-051-0075","AQS","70","11","69",".","."
"11/09/1982","56","CO","","41-051-0075","AQS","56","14","43",".","."
"11/10/1982","151","CO","","41-051-0075","AQS","151","18","60",".","."
"11/11/1982","171","CO","","41-051-0075","AQS","171","12","47",".","."
"11/12/1982","92","CO","","41-051-0075","AQS","92","9","76",".","."
"11/13/1982","76","SO2","","41-051-0074","AQS","58","26","76",".","."
"11/14/1982","34","CO","","41-051-0075","AQS","34","26","31",".","."
"11/15/1982","81","CO","","41-051-0075","AQS","81","28","76",".","."
"11/16/1982","61","CO","","41-051-0078","AQS","61","31","23",".","."
"11/17/1982","56","CO","","41-051-0075","AQS","56","23","14",".","."
"11/18/1982","48","CO","","41-051-1002","AQS","48","27","16",".","."
"11/19/1982","56","CO","","41-051-1002","AQS","56","27","13",".","."
"11/20/1982","48","CO","","41-051-0075","AQS","48","25","16",".","."
"11/21/1982","50","CO","","41-051-0075","AQS","50","22","31",".","."
"11/22/1982","47","CO","","41-051-0075","AQS","47","24","16",".","."
"11/23/1982","36","CO","","41-051-0078","AQS","36","25","13",".","."
"11/24/1982","74","CO","","41-051-0075","AQS","74","19","1",".","."
"11/25/1982","54","CO","","53-011-0008","AQS","54","19","1",".","."
"11/26/1982","52","CO","","41-051-0075","AQS","52","18","1",".","."
"11/27/1982","77","CO","","41-051-0078","AQS","77","29","29",".","."
"11/28/1982","53","CO","","41-051-0078","AQS","53","30","23",".","."
"11/29/1982","49","CO","","41-051-1002","AQS","49","28","11",".","."
"11/30/1982","54","CO","","41-051-1002","AQS","54","26","13",".","."
"12/01/1982","52","CO","","41-051-1002","AQS","52","30","14",".","."
"12/02/1982","81","CO","","41-051-0075","AQS","81","24","20",".","."
"12/03/1982","45","CO","","41-051-1002","AQS","45","30","16",".","."
"12/04/1982","52","CO","","41-051-0075","AQS","52","25","47",".","."
"12/05/1982","45","CO","","41-051-0075","AQS","45","17","26",".","."
"12/06/1982","77","CO","","53-011-0008","AQS","77","20","29",".","."
"12/07/1982","70","CO","","53-011-0008","AQS","70","24","43",".","."
"12/08/1982","55","CO","","41-051-0075","AQS","55","24","29",".","."
"12/09/1982","64","CO","","53-011-0008","AQS","64","25","16",".","."
"12/10/1982","47","CO","","41-051-0075","AQS","47","24","11",".","."
"12/11/1982","56","CO","","41-051-0075","AQS","56","12","36",".","."
"12/12/1982","51","CO","","41-051-0075","AQS","51","17","27",".","."
"12/13/1982","58","CO","","41-051-1002","AQS","58","22","31","38","."
"12/14/1982","75","CO","","41-051-1002","AQS","75","26","27",".","."
"12/15/1982","73","CO","","41-051-0075","AQS","73","31","16",".","."
"12/16/1982","68","CO","","41-051-0075","AQS","68","30","16",".","."
"12/17/1982","51","CO","","41-051-1002","AQS","51","30","9",".","."
"12/18/1982","33","CO","","41-051-1002","AQS","33","27","10",".","."
"12/19/1982","40","CO","","41-051-0078","AQS","40","28","34","20","."
"12/20/1982","65","CO","","41-051-1002","AQS","65","24","16",".","."
"12/21/1982","63","CO","","41-051-0075","AQS","63","30","9",".","."
"12/22/1982","81","CO","","41-051-0075","AQS","81","28","9",".","."
"12/23/1982","66","CO","","41-051-0078","AQS","66","22","17",".","."
"12/24/1982","51","CO","","41-051-1002","AQS","51","13","20",".","."
"12/25/1982","37","PM10","","41-051-0015","AQS","34","21","31","37","."
"12/26/1982","41","CO","","41-051-0075","AQS","41","16","23",".","."
"12/27/1982","45","CO","","41-051-0078","AQS","45","28","29",".","."
"12/28/1982","56","CO","","53-011-0008","AQS","56","24","31","27","."
"12/29/1982","69","CO","","41-051-0075","AQS","69","19","57",".","."
"12/30/1982","70","CO","","53-011-0008","AQS","70","18","60",".","."
"12/31/1982","57","CO","","53-011-0008","AQS","57","18","6",".","."
