"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25","NO2"
"01/01/1980","54","CO","","41-051-0075","AQS","54","22","6",".","."
"01/02/1980","95","CO","","41-051-1002","AQS","95","21","51",".","."
"01/03/1980","98","CO","","41-051-0079","AQS","98","16","62",".","."
"01/04/1980","118","CO","","41-051-0075","AQS","118","9","51",".","."
"01/05/1980","76","CO","","41-051-0075","AQS","76","23","49",".","."
"01/06/1980","63","CO","","41-051-0075","AQS","63","13","47",".","."
"01/07/1980","99","CO","","41-051-1002","AQS","99","9","43",".","."
"01/08/1980","57","CO","","41-051-1002","AQS","57","29","43",".","."
"01/09/1980","43","SO2","","41-051-1002","AQS","36","29","43",".","."
"01/10/1980","38","CO","","41-051-1002","AQS","38","30","34",".","."
"01/11/1980","92","CO","","41-051-1002","AQS","92","29","50",".","."
"01/12/1980","69","CO","","41-051-1002","AQS","69","32","7",".","."
"01/13/1980","77","CO","","41-051-0079","AQS","77","25","51",".","."
"01/14/1980","101","CO","","41-051-1002","AQS","101","28",".",".","."
"01/15/1980","175","CO","","41-051-1002","AQS","175","25","66",".","."
"01/16/1980","120","CO","","41-051-0079","AQS","120","29","55",".","."
"01/17/1980","101","SO2","","41-051-0074","AQS","68","24","101",".","30"
"01/18/1980","117","SO2","","41-051-0074","AQS","50","33","117",".","30"
"01/19/1980","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","27","33",".",".","29"
"01/20/1980","41","CO","","41-051-0075","AQS","41","28",".",".","30"
"01/21/1980","71","CO","","53-011-0008","AQS","71","28",".",".","49"
"01/22/1980","66","CO","","53-011-0008","AQS","66","24","33",".","30"
"01/23/1980","71","CO","","41-051-0075","AQS","71","17","50",".","31"
"01/24/1980","110","SO2","","41-051-0074","AQS","85","23","110",".","61"
"01/25/1980","65","CO","","41-051-1002","AQS","65","25","16",".","37"
"01/26/1980","39","CO","","41-051-0075","AQS","39","29","13",".","25"
"01/27/1980","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","28","31","21",".","26"
"01/28/1980","36","CO","","41-051-0075","AQS","36","28","34",".","32"
"01/29/1980","60","SO2","","41-051-1002","AQS","57","27","60",".","35"
"01/30/1980","50","SO2","","41-051-0074","AQS","41","25","50",".","34"
"01/31/1980","70","CO","","41-051-1002","AQS","70","22","37",".","42"
"02/01/1980","148","CO","","41-051-0078","AQS","148","15","72",".","68"
"02/02/1980","97","CO","","41-051-0075","AQS","97","31","47",".","33"
"02/03/1980","80","SO2","","41-051-0074","AQS","76","32","80",".","31"
"02/04/1980","69","CO","","41-051-0079","AQS","69","27","52",".","34"
"02/05/1980","75","CO","","41-051-0075","AQS","75","33","10",".","34"
"02/06/1980","62","CO","","41-051-1002","AQS","62","38","16",".","33"
"02/07/1980","80","SO2","","41-051-0074","AQS","74","23","80",".","28"
"02/08/1980","56","CO","","41-051-0075","AQS","56","24","50",".","32"
"02/09/1980","61","CO","","41-051-0075","AQS","61","21","21",".","25"
"02/10/1980","75","SO2","","41-051-0074","AQS","38","25","75",".","24"
"02/11/1980","92","SO2","","41-051-0074","AQS","52","24","92",".","29"
"02/12/1980","77","CO","","41-051-0075","AQS","77","20","56",".","35"
"02/13/1980","87","SO2","","41-051-0074","AQS","74","28","87",".","34"
"02/14/1980","58","CO","","41-051-0075","AQS","58","31",".",".","35"
"02/15/1980","56","CO","","53-011-0008","AQS","56","30","13",".","33"
"02/16/1980","38","CO","","53-011-0008","AQS","38","30","10",".","28"
"02/17/1980","50","CO","","41-051-0075","AQS","50","28","16",".","31"
"02/18/1980","73","CO","","41-051-1002","AQS","73","31","40",".","39"
"02/19/1980","92","CO","","41-051-0075","AQS","92","27","52",".","41"
"02/20/1980","49","CO","","41-051-1002","AQS","49","31","24",".","42"
"02/21/1980","70","CO","","41-051-1002","AQS","70","17","27",".","41"
"02/22/1980","93","CO","","41-051-0075","AQS","93","26","56",".","36"
"02/23/1980","64","CO","","41-051-1002","AQS","64","24","13",".","29"
"02/24/1980","34","CO","","41-051-0075","AQS","34","22","11",".","26"
"02/25/1980","67","CO","","41-051-0075","AQS","67","15","13",".","31"
"02/26/1980","94","CO","","41-051-0078","AQS","94","13","50",".","30"
"02/27/1980","100","CO","","41-051-1002","AQS","100","24","33",".","39"
"02/28/1980","65","CO","","41-051-0075","AQS","65","31","13",".","37"
"02/29/1980","85","CO","","41-051-0075","AQS","85","24","62",".","46"
"03/01/1980","67","CO","","41-051-0075","AQS","67","9","54",".","34"
"03/02/1980","47","CO","","41-051-0075","AQS","47","31","43",".","27"
"03/03/1980","84","CO","","53-011-0008","AQS","84","24","50",".","."
"03/04/1980","67","CO","","41-051-1002","AQS","67","31","16",".","."
"03/05/1980","70","CO","","41-051-0075","AQS","70","19","6",".","."
"03/06/1980","72","CO","","41-051-0075","AQS","72","22","30",".","."
"03/07/1980","80","SO2","","41-051-1002","AQS","65","17","80",".","."
"03/08/1980","60","CO","","41-051-1002","AQS","60","26","50",".","."
"03/09/1980","54","CO","","41-051-0075","AQS","54","23","27",".","."
"03/10/1980","76","CO","","41-051-1002","AQS","76","29","64",".","."
"03/11/1980","62","CO","","41-051-1002","AQS","62","28","4",".","."
"03/12/1980","71","CO","","41-051-1002","AQS","71","32","9",".","."
"03/13/1980","68","CO","","41-051-1002","AQS","68","32","10",".","."
"03/14/1980","54","CO","","41-051-1002","AQS","54","31","10",".","."
"03/15/1980","61","CO","","41-051-0075","AQS","61","28","9",".","."
"03/16/1980","55","CO","","41-051-1002","AQS","55","31","19",".","."
"03/17/1980","57","CO","","41-051-0075","AQS","57","28","11",".","."
"03/18/1980","51","CO","","41-051-1002","AQS","51","31","11",".","."
"03/19/1980","62","CO","","41-051-1002","AQS","62","28","6",".","."
"03/20/1980","57","CO","","41-051-0075","AQS","57","33","1",".","."
"03/21/1980","69","CO","","41-051-0078","AQS","69","28","56",".","."
"03/22/1980","42","CO","","41-051-0078","AQS","42","34",".",".","."
"03/23/1980","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","31",".",".","."
"03/24/1980","50","CO","","41-051-0078","AQS","50","34",".",".","."
"03/25/1980","80","SO2","","41-051-0074","AQS","65","35","80",".","."
"03/26/1980","48","CO","","41-051-0078","AQS","48","37","27",".","."
"03/27/1980","105","SO2","","41-051-0074","AQS","48","33","105",".","."
"03/28/1980","75","CO","","41-051-0075","AQS","75","24","43",".","."
"03/29/1980","71","CO","","41-051-0075","AQS","71","37","57",".","."
"03/30/1980","35","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","27","35","9",".","."
"03/31/1980","124","SO2","","41-051-0074","AQS","61","25","124",".","."
"04/01/1980","120","SO2","","41-051-0074","AQS","55","31","120",".","37"
"04/02/1980","118","SO2","","41-051-0074","AQS","56","35","118",".","50"
"04/03/1980","71","SO2","","41-051-1002","AQS","49","38","71",".","43"
"04/04/1980","67","CO","","41-051-1002","AQS","67","32","36",".","39"
"04/05/1980","56","CO","","41-051-1002","AQS","56","35","6",".","37"
"04/06/1980","39","CO","","41-051-1002","AQS","39","35","27",".","27"
"04/07/1980","73","CO","","41-051-1002","AQS","73","33","6",".","41"
"04/08/1980","87","CO","","41-051-1002","AQS","87","31","16",".","42"
"04/09/1980","63","CO","","41-051-1002","AQS","63","35","4",".","39"
"04/10/1980","52","CO","","41-051-0075","AQS","52","37","50",".","38"
"04/11/1980","74","SO2","","41-051-0074","AQS","55","37","74",".","40"
"04/12/1980","55","CO","","41-051-0075","AQS","55","44","27",".","42"
"04/13/1980","65","NO2","","41-051-1002","AQS","44","48","37",".","65"
"04/14/1980","55","CO","","41-051-1002","AQS","55","37","1",".","42"
"04/15/1980","44","CO","","41-051-0079","AQS","44","41","27",".","42"
"04/16/1980","62","SO2","","41-051-0074","AQS","59","47","62",".","53"
"04/17/1980","52","CO","","41-051-1002","AQS","52","35","13",".","."
"04/18/1980","54","CO","","41-051-1002","AQS","54","32","50",".","."
"04/19/1980","48","CO","","41-051-1002","AQS","48","32","1",".","."
"04/20/1980","80","SO2","","41-051-0074","AQS","35","34","80",".","."
"04/21/1980","48","CO","","41-051-0075","AQS","48","24","41",".","42"
"04/22/1980","67","CO","","41-051-1002","AQS","67","38","51",".","57"
"04/23/1980","52","CO","","41-051-1002","AQS","52","33","27",".","42"
"04/24/1980","57","NO2","","41-051-1002","AQS","39","40","54",".","57"
"04/25/1980","61","NO2","","41-051-1002","AQS","47","40","50",".","61"
