"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2004","73","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","15",".",".","73","."
"01/02/2004","25","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".",".","25","."
"01/03/2004","33","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20",".",".","33","."
"01/04/2004","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","19",".","20","45","."
"01/05/2004","27","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19",".",".","27","."
"01/06/2004","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11",".",".","35","."
"01/07/2004","78","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","7",".",".","78","."
"01/08/2004","57","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","8",".",".","57","."
"01/09/2004","69","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","28",".",".","69","."
"01/10/2004","125","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","48",".","42","125","."
"01/11/2004","87","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","48",".",".","87","."
"01/12/2004","83","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","56",".",".","83","."
"01/13/2004","77","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","47",".",".","77","."
"01/14/2004","51","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".",".","51","."
"01/15/2004","77","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","35",".",".","77","."
"01/16/2004","58","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","28",".","54","58","."
"01/17/2004","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16",".",".","45","."
"01/18/2004","45","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18",".",".","45","."
"01/19/2004","60","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","17",".",".","60","."
"01/20/2004","54","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","33",".",".","54","."
"01/21/2004","71","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","35",".",".","71","."
"01/22/2004","124","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","36",".","80","124","."
"01/23/2004","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","32",".",".","54","."
"01/24/2004","27","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".",".","27","."
"01/25/2004","48","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","14",".",".","48","."
"01/26/2004","30","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".",".","30","."
"01/27/2004","51","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","25",".",".","51","."
"01/28/2004","18","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18",".","6","18","."
"01/29/2004","15","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15",".",".","15","."
"01/30/2004","20","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15",".",".","20","."
"01/31/2004","63","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","13",".",".","63","."
"02/01/2004","39","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".",".","39","."
"02/02/2004","22","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15",".",".","22","."
"02/03/2004","41","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","22",".","39","41","."
"02/04/2004","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".",".","52","."
"02/05/2004","43","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","41",".",".","43","."
"02/06/2004","37","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","17",".",".","37","."
"02/07/2004","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".",".","35","."
"02/08/2004","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".",".","55","."
"02/09/2004","81","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","26",".","31","81","."
"02/10/2004","57","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","44",".",".","57","."
"02/11/2004","48","CO","","53-011-0010","AQS","48",".",".","45","."
"02/12/2004","52","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","31",".",".","52","."
"02/13/2004","74","PM2.5","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","35",".",".","74","."
"02/14/2004","44","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15",".",".","44","."
"02/15/2004","35","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","15",".","12","35","."
"02/16/2004","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22",".",".","42","."
"02/17/2004","26","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19",".",".","26","."
"02/18/2004","25","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".",".","25","."
"02/19/2004","46","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","26",".",".","46","."
"02/20/2004","41","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","27",".",".","41","."
"02/21/2004","38","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14",".","16","38","."
"02/22/2004","45","PM2.5","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","13",".",".","45","."
"02/23/2004","38","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".",".","38","."
"02/24/2004","27","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","22",".",".","27","."
"02/25/2004","22","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","22",".",".","22","."
"02/26/2004","19","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","17",".",".","19","."
"02/27/2004","28","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","25",".","9","28","."
