"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"06/16/2001","34","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","13","34",".","23","18"
"06/17/2001","34","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","10","34",".","25","12"
"06/18/2001","35","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","19","35","15","32","22"
"06/19/2001","61","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","32","61",".","42","23"
"06/20/2001","97","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","24","97",".","40","34"
"06/21/2001","45","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","39",".","45","17"
"06/22/2001","30","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","13","30",".","16","12"
"06/23/2001","32","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","13","32",".","20","12"
"06/24/2001","23","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","11","23","6","20","17"
"06/25/2001","28","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","19","28",".","26","."
"06/26/2001","43","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20","27",".","43","34"
"06/27/2001","25","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","13","25",".","21","17"
"06/28/2001","29","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","20","29",".","24","24"
"06/29/2001","40","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","17","40",".","33","18"
"06/30/2001","39","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","11","39","13","33","15"
"07/01/2001","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","10","44",".","25","14"
"07/02/2001","45","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","45",".","44","18"
"07/03/2001","67","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","26","67",".","49","."
"07/04/2001","77","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","15","32",".","77","."
"07/05/2001","35","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","35",".","26","."
"07/06/2001","34","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","34","15","33","."
"07/07/2001","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","47",".","28","."
"07/08/2001","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","14","47",".","38","."
"07/09/2001","48","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","48",".","40","."
"07/10/2001","39","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","39",".","32","."
"07/11/2001","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","31",".","28","."
"07/12/2001","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","17","37","18","33","."
"07/13/2001","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","31",".","30","6"
"07/14/2001","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","11","33",".","24","5"
"07/15/2001","22","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","10","22",".","20","7"
