"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2007","141","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","17",".","7",".","141","."
"01/02/2007","28","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","11",".","1",".","28","."
"01/03/2007","55","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","14",".","1",".","55","."
"01/04/2007","49","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13",".","1",".","49","."
"01/05/2007","25","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10",".","1",".","25","."
"01/06/2007","70","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8",".","3","13","70","."
"01/07/2007","20","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","6",".","1",".","20","."
"01/08/2007","67","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".","6",".","67","."
"01/09/2007","35","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","17",".","1",".","35","."
"01/10/2007","56","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13",".","1",".","56","."
"01/11/2007","51","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10",".","3",".","51","."
"01/12/2007","82","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","11",".","11","18","82","."
"01/13/2007","116","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","15",".","9",".","116","."
"01/14/2007","145","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","14",".","6",".","145","."
"01/15/2007","109","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13",".","7",".","109","."
"01/16/2007","102","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9",".","9",".","102","."
"01/17/2007","97","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".","11",".","97","."
"01/18/2007","91","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","18",".","7","31","91","."
"01/19/2007","88","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22",".","7",".","88","."
"01/20/2007","70","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15",".","3",".","70","."
"01/21/2007","121","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".","6",".","121","."
"01/22/2007","75","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".","17",".","75","."
"01/23/2007","112","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","28",".","9",".","112","."
"01/24/2007","101","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","27",".","9","64","101","."
"01/25/2007","114","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","35",".","6",".","114","."
"01/26/2007","70","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","19",".","4",".","70","."
"01/27/2007","57","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","10",".","3",".","57","."
"01/28/2007","63","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","7",".","1",".","63","."
"01/29/2007","110","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13",".","7",".","110","."
"01/30/2007","61","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","11",".","4","34","61","."
"01/31/2007","54","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","14",".","3",".","54","."
"02/01/2007","73","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13",".","7",".","73","."
"02/02/2007","91","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","23",".","11",".","91","."
"02/03/2007","151","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","20",".","151","."
