"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"02/25/2009","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","33","0",".","12","13"
"02/26/2009","36","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","30","1",".","36","27"
"02/27/2009","56","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","30","3","15","56","25"
"02/28/2009","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","10","30","1",".","45","8"
"03/01/2009","40","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","28","1",".","40","9"
"03/02/2009","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","10","36","1","23","29","18"
"03/03/2009","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","13","31","1",".","25","31"
"03/04/2009","31","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","11","28","4",".","31","23"
"03/05/2009","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","31","1","5","18","19"
"03/06/2009","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","31","3",".","52","38"
"03/07/2009","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","34","1",".","48","18"
"03/08/2009","50","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","35","0","7","50","25"
"03/09/2009","31","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","29","3",".","31","15"
"03/10/2009","35","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","10","30","3",".","35","23"
"03/11/2009","53","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","8","34","6","8","53","19"
"03/12/2009","54","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","7","36","3",".","54","11"
"03/13/2009","54","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","13","34","3",".","54","18"
"03/14/2009","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","35","1","8","20","6"
"03/15/2009","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","39","3",".","14","5"
"03/16/2009","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","9","35","3",".","18","14"
"03/17/2009","37","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","31","1","10","37","32"
"03/18/2009","50","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","11","34","3",".","50","30"
"03/19/2009","49","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","13","25","4",".","49","17"
"03/20/2009","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","28","3","15","18","13"
"03/21/2009","38","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","33","4",".","38","22"
"03/22/2009","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","36","3",".","26","13"
"03/23/2009","38","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","32","3","6","38","18"
"03/24/2009","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","31","1",".","18","9"
"03/25/2009","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","8","28","3",".","17","23"
"03/26/2009","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","29","4","21","60","28"
"03/27/2009","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","25","10",".","52","26"
