"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2016","27","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","2","27","0","9","23","7"
"01/02/2016","27","Ozone","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","2","27","0",".","24","5"
"01/03/2016","48","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","24","0",".","48","7"
"01/04/2016","63","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","26","3","9","63","25"
"01/05/2016","70","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","7","24","0",".","70","22"
"01/06/2016","91","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","21","0",".","91","22"
"01/07/2016","86","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","15","14","1","19","86","24"
"01/08/2016","71","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","15","15","3",".","71","21"
"01/09/2016","56","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","15","18","0",".","56","15"
"01/10/2016","55","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","6","25","0","5","55","12"
"01/11/2016","52","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","24","0",".","52","25"
"01/12/2016","47","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","19","0",".","47","24"
"01/13/2016","32","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","8","18","0","5","31","32"
"01/14/2016","24","NO2","Portland - SE Lafayette","41-051-0080","AQS","7","19","0",".","23","24"
"01/15/2016","25","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","18","0",".","25","25"
"01/16/2016","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","29","0","6","23","20"
"01/17/2016","50","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","23","0",".","50","29"
"01/18/2016","32","NO2","Portland - SE Lafayette","41-051-0080","AQS","7","12","0",".","27","32"
"01/19/2016","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","0","4","16","23"
"01/20/2016","28","NO2","Portland - SE Lafayette","41-051-0080","AQS","5","26","0",".","22","28"
"01/21/2016","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","22","0",".","48","23"
"01/22/2016","29","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","6","28","0","6","29","28"
"01/23/2016","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","18","0",".","48","22"
"01/24/2016","57","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","23","0",".","57","26"
"01/25/2016","51","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","15","0","10","51","26"
"01/26/2016","35","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","12","0",".","35","18"
"01/27/2016","38","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","9","0",".","38","14"
"01/28/2016","33","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","7","27","1","9","31","33"
"01/29/2016","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","31","0",".","20","31"
"01/30/2016","45","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","28","0",".","45","22"
"01/31/2016","31","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","3","24","0","7","31","24"
"02/01/2016","33","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","21","0",".","33","25"
"02/02/2016","42","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","18","3",".","42","21"
"02/03/2016","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","30","0","5","24","22"
"02/04/2016","28","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","28","0",".","28","24"
"02/05/2016","55","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","25","3",".","55","25"
"02/06/2016","38","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","20","0","14","38","31"
"02/07/2016","60","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","24","0",".","60","22"
"02/08/2016","62","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","26","0",".","62","13"
"02/09/2016","57","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","22","0","8","57","24"
"02/10/2016","68","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","14","1",".","68","28"
"02/11/2016","63","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","14","0",".","63","23"
"02/12/2016","47","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","14","1","12","47","30"
"02/13/2016","26","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","25","0",".","26","16"
"02/14/2016","24","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","24","0",".","8","17"
"02/15/2016","24","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","8","23","0","3","15","24"
"02/16/2016","28","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","22","0",".","28","25"
"02/17/2016","25","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","25","0",".","25","24"
"02/18/2016","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","30","0","3","10","29"
"02/19/2016","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","33","0",".","10","24"
"02/20/2016","30","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","28","0",".","30","22"
"02/21/2016","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","18","3","15","54","23"
"02/22/2016","54","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","17","22","3",".","54","31"
"02/23/2016","38","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","29","0",".","38","22"
"02/24/2016","44","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","8","26","0","7","44","28"
"02/25/2016","54","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","27","0",".","54","29"
"02/26/2016","60","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","9","22","0",".","60","23"
"02/27/2016","42","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","30","0","9","42","24"
"02/28/2016","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","33","0",".","28","21"
"02/29/2016","25","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","6","21","0",".","23","25"
"03/01/2016","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","36","0","6","16","20"
"03/02/2016","30","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","6","24","0",".","22","30"
"03/03/2016","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","32","0",".","25","29"
"03/04/2016","40","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","12","1","12","40","25"
"03/05/2016","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","36","0",".","14","18"
"03/06/2016","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","35","0",".","12","15"
"03/07/2016","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","31","0","5","21","31"
"03/08/2016","36","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","11","19","3",".","36","21"
"03/09/2016","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","11","31","0",".","11","19"
"03/10/2016","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","34","0","7","23","27"
"03/11/2016","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","29","0",".","23","25"
"03/12/2016","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","35","0",".","10","19"
"03/13/2016","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","36","0","2","8","16"
"03/14/2016","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","32","0",".","13","25"
"03/15/2016","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","29","0",".","21","27"
