"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2005","50","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16",".",".",".","50","."
"01/02/2005","58","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17",".",".",".","58","."
"01/03/2005","41","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","39",".",".",".","41","."
"01/04/2005","30","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20",".",".","14","30","."
"01/05/2005","59","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","31",".",".",".","59","."
"01/06/2005","68","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","22",".",".",".","68","."
"01/07/2005","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".",".",".","35","."
"01/08/2005","24","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14",".",".",".","24","."
"01/09/2005","42","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","11",".",".",".","42","."
"01/10/2005","59","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","28",".",".","21","59","."
"01/11/2005","50","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","43",".",".",".","50","."
"01/12/2005","30","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","17",".",".",".","30","."
"01/13/2005","63","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","42",".",".",".","63","."
"01/14/2005","47","CO","","53-011-0010","AQS","47",".",".",".","31","."
"01/15/2005","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".",".",".","42","."
"01/16/2005","71","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","10",".",".","17","71","."
"01/17/2005","46","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","25",".",".",".","46","."
"01/18/2005","26","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","18",".",".",".","26","."
"01/19/2005","51","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".",".",".","51","."
"01/20/2005","64","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","23",".",".",".","64","."
"01/21/2005","66","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","26",".",".",".","66","."
"01/22/2005","71","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","27",".",".","49","71","."
"01/23/2005","82","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".",".",".","82","."
"01/24/2005","101","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","40",".",".",".","101","."
"01/25/2005","98","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","36",".",".",".","98","."
"01/26/2005","58","PM2.5","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20",".",".",".","58","."
"01/27/2005","52","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","32",".",".",".","52","."
"01/28/2005","40","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","34",".",".","40","40","."
"01/29/2005","28","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","18",".",".",".","28","."
"01/30/2005","75","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","28",".",".",".","75","."
"01/31/2005","66","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".",".","13","66","."
"02/01/2005","79","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","36",".",".",".","79","."
"02/02/2005","89","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","52",".",".",".","89","."
"02/03/2005","134","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","55",".",".","70","134","."
"02/04/2005","80","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","48",".",".",".","80","."
"02/05/2005","50","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","19",".",".",".","50","."
"02/06/2005","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".",".",".","33","."
"02/07/2005","57","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","39",".",".",".","57","."
"02/08/2005","73","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","49",".",".",".","73","."
"02/09/2005","88","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","52",".",".","46","88","."
"02/10/2005","78","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","40",".",".",".","78","."
"02/11/2005","81","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","45",".",".",".","81","."
"02/12/2005","91","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","30",".",".",".","91","."
"02/13/2005","56","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","23",".",".",".","56","."
"02/14/2005","71","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","24",".",".",".","71","."
"02/15/2005","58","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","28",".",".","22","58","."
"02/16/2005","23","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","18",".",".",".","23","."
"02/17/2005","36","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","33",".","3",".","36","."
"02/18/2005","63","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","32",".","4",".","63","."
"02/19/2005","68","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","39",".","21",".","68","."
"02/20/2005","40","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","18",".","4",".","40","."
"02/21/2005","68","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","33",".","21","30","68","."
"02/22/2005","42","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","24",".","17",".","42","."
"02/23/2005","51","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","27",".","7",".","51","."
"02/24/2005","61","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","24",".","9",".","61","."
"02/25/2005","87","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","23",".","19",".","87","."
"02/26/2005","104","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","27",".","11",".","104","."
"02/27/2005","80","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","35",".","9","32","80","."
"02/28/2005","23","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14",".","7",".","23","."
"03/01/2005","31","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","14",".","11",".","31","."
"03/02/2005","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".","7",".","40","."
"03/03/2005","55","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","28",".","7",".","55","."
"03/04/2005","52","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","28",".","16",".","52","."
"03/05/2005","75","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","30",".","6","28","75","."
"03/06/2005","76","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","33",".","10",".","76","."
"03/07/2005","58","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","27",".","14",".","58","."
"03/08/2005","67","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".","16",".","67","."
"03/09/2005","52","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","35",".","11",".","52","."
"03/10/2005","53","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","23",".","9",".","53","."
"03/11/2005","41","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","23",".","10","31","41","."
"03/12/2005","23","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","14",".","9",".","23","."
"03/13/2005","30","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","8",".","10",".","30","."
"03/14/2005","55","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","18",".","19",".","55","."
"03/15/2005","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","13",".","55","."
"03/16/2005","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","11",".","36","."
"03/17/2005","48","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","20",".","11","24","48","."
"03/18/2005","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","25",".","14",".","55","."
"03/19/2005","32","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","22",".","9",".","32","."
"03/20/2005","17","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","11",".","3",".","17","."
"03/21/2005","26","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","13",".","9",".","26","."
"03/22/2005","27","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","10",".","16",".","27","."
"03/23/2005","50","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".","10","19","50","."
"03/24/2005","41","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".","7",".","41","."
"03/25/2005","33","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","15",".","9",".","33","."
"03/26/2005","21","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","13",".","3",".","21","."
"03/27/2005","30","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14",".","4",".","30","."
"03/28/2005","25","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","14",".","3",".","25","."
"03/29/2005","20","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","8",".","1","11","20","."
"03/30/2005","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".","3",".","35","."
"03/31/2005","37","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","16",".","10",".","37","."
"04/01/2005","24","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","15",".","4",".","24","."
"04/02/2005","25","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9",".","10",".","25","."
