"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/1996","71","PM10","Portland - SE Lafayette","41-051-0080","AQS","52",".","71",".","."
"01/02/1996","35","CO","","41-051-0087","AQS","35",".",".",".","."
"01/03/1996","33","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","33",".","9",".","."
"01/04/1996","36","CO","","41-051-0087","AQS","36",".","24",".","."
"01/05/1996","36","CO","","41-051-0087","AQS","36",".","30",".","."
"01/06/1996","33","PM10","Portland - SE Lafayette","41-051-0080","AQS","28",".","33",".","."
"01/07/1996","27","PM10","Portland - SE Lafayette","41-051-0080","AQS","27",".","27",".","."
"01/08/1996","50","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","50",".","17",".","."
"01/09/1996","52","CO","","41-051-0087","AQS","52",".","22",".","."
"01/10/1996","70","CO","","41-051-0243","AQS","70",".","37",".","."
"01/11/1996","72","CO","","41-051-0243","AQS","72",".","42",".","."
"01/12/1996","54","CO","","41-051-0087","AQS","54",".","21",".","."
"01/13/1996","35","CO","","41-051-0087","AQS","35",".","25",".","."
"01/14/1996","23","CO","","41-051-0087","AQS","23",".","14",".","."
"01/15/1996","28","CO","","41-051-0087","AQS","28",".","6",".","."
"01/16/1996","40","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","40",".","20",".","."
"01/17/1996","49","CO","","41-051-0087","AQS","49",".","14",".","."
"01/18/1996","35","CO","","41-051-0087","AQS","35",".","8",".","."
"01/19/1996","47","CO","","41-051-0087","AQS","47",".","10",".","."
"01/20/1996","32","CO","","41-051-0087","AQS","32",".","5",".","."
"01/21/1996","22","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","22",".","8",".","."
"01/22/1996","27","CO","","41-051-0087","AQS","27",".","18",".","."
"01/23/1996","35","CO","","41-051-0087","AQS","35",".","7",".","."
"01/24/1996","42","CO","","41-051-0087","AQS","42",".","6",".","."
"01/25/1996","36","CO","","41-051-0087","AQS","36",".","9",".","."
"01/26/1996","35","CO","","41-051-0087","AQS","35",".","9",".","."
"01/27/1996","35","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","35",".","18",".","."
"01/28/1996","24","CO","","41-051-0243","AQS","24",".","21",".","."
"01/29/1996","26","CO","","41-051-0087","AQS","26",".","19",".","."
"01/30/1996","22","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","22",".","16",".","."
"01/31/1996","25","CO","","41-051-0087","AQS","25",".","17",".","."
"02/01/1996","41","CO","HAZELDELL/7701 NE HIGHWAY 99","53-011-0016","AQS","41",".","20",".","."
"02/02/1996","42","CO","","53-011-0010","AQS","42",".","25",".","."
"02/03/1996","42","PM10","Portland - SE Lafayette","41-051-0080","AQS","30",".","42",".","."
