"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2002","29","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11",".","7","29","."
"01/02/2002","67","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","27",".","21","67","."
"01/03/2002","75","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","34",".","26","75","."
"01/04/2002","56","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","31",".","12","56","."
"01/05/2002","68","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","17",".","7","68","."
"01/06/2002","30","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","23",".","8","30","."
"01/07/2002","23","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".","4","23","."
"01/08/2002","48","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","40",".","13","48","."
"01/09/2002","67","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","41",".","23","67","."
"01/10/2002","71","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","34",".","25","71","."
"01/11/2002","80","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","34",".","15","80","."
"01/12/2002","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","23",".","10","40","."
"01/13/2002","59","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","26",".","18","59","."
"01/14/2002","74","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","32",".","27","74","."
"01/15/2002","120","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","41",".","44","120","."
"01/16/2002","79","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","41",".","26","79","."
"01/17/2002","78","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".","23","78","."
"01/18/2002","30","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","25",".","5","30","."
"01/19/2002","19","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","16",".","6","19","."
"01/20/2002","27","PM2.5","CAMAS CITY HALL, 616 NE 4TH AVE, CAMAS, WA","53-011-0020","AQS","11",".","5","27","."
"01/21/2002","21","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17",".","5","21","."
"01/22/2002","29","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16",".","5","29","."
"01/23/2002","39","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","16",".","5","39","."
"01/24/2002","16","CO","","41-051-0087","AQS","16",".","3","12","."
"01/25/2002","20","CO","","41-051-0087","AQS","20",".",".","12","."
"01/26/2002","29","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17",".","5","29","."
"01/27/2002","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15",".","7","33","."
"01/28/2002","56","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".","15","56","."
"01/29/2002","97","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","20",".","20","97","."
