"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2003","46","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".",".","46","."
"01/02/2003","24","CO","","41-051-0087","AQS","24",".",".","22","."
"01/03/2003","46","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","26",".","9","46","."
"01/04/2003","35","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".",".","35","."
"01/05/2003","61","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","42",".",".","61","."
"01/06/2003","101","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","51",".",".","101","."
"01/07/2003","63","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","38",".","18","63","."
"01/08/2003","70","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","47",".",".","70","."
"01/09/2003","55","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","38",".","19","55","."
"01/10/2003","43","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20",".",".","43","."
"01/11/2003","50","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".",".","50","."
"01/12/2003","62","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","19",".",".","62","."
"01/13/2003","39","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","27",".",".","39","."
"01/14/2003","35","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","26",".",".","35","."
"01/15/2003","67","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","28",".","24","67","."
"01/16/2003","65","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","44",".",".","65","."
"01/17/2003","59","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","50",".",".","59","."
"01/18/2003","86","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","43",".",".","86","."
"01/19/2003","63","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","27",".",".","63","."
"01/20/2003","66","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","30",".",".","66","."
"01/21/2003","107","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","27",".","25","107","."
"01/22/2003","28","CO","","53-011-0010","AQS","28",".",".","25","."
