"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2017","61","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","30","0","8","61","23"
"01/02/2017","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","33","0",".","21","5"
"01/03/2017","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","34","0",".","15","7"
"01/04/2017","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","34","0","14","19","29"
"01/05/2017","62","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","30","0",".","62","34"
"01/06/2017","77","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","27","0",".","77","35"
"01/07/2017","68","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","32","1","31","68","8"
"01/08/2017","50","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","33","1",".","50","18"
"01/09/2017","41","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","31","0",".","41","36"
"01/10/2017","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","34","1","5","24","33"
"01/11/2017","48","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","36","0",".","48","11"
"01/12/2017","95","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","35","1",".","95","16"
"01/13/2017","101","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","36","1","12","101","19"
"01/14/2017","99","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","2","37","3",".","99","8"
"01/15/2017","84","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","35","0",".","84","25"
"01/16/2017","76","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","35","0","10","76","24"
"01/17/2017","73","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","31","0",".","73","31"
"01/18/2017","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","32","0",".","40","33"
"01/19/2017","37","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","37","0","6","18","25"
"01/20/2017","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","29","0",".","27","17"
"01/21/2017","28","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","6","28","0",".","28","16"
"01/22/2017","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","34","0","6","32","19"
"01/23/2017","54","PM2.5","Vancouver-NE 84th Ave","53-011-0024","AQS","14","18","1",".","54","33"
"01/24/2017","86","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","14","4","6",".","86","27"
