"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/1995","47","PM10","Portland - SE Lafayette","41-051-0080","AQS","19",".","9","47",".","."
"01/02/1995","45","PM10","Portland - SE Lafayette","41-051-0080","AQS","20",".","9","45",".","."
"01/03/1995","30","PM10","","41-051-0009","AQS","28",".","7","30",".","."
"01/04/1995","34","CO","","53-011-0010","AQS","34",".","6","22",".","."
"01/05/1995","44","CO","","53-011-0010","AQS","44",".","9","18",".","."
"01/06/1995","40","CO","","53-011-0010","AQS","40",".","16","23",".","."
"01/07/1995","31","CO","","53-011-0010","AQS","31",".","7","15",".","."
"01/08/1995","24","CO","","41-051-0078","AQS","24",".","9","12",".","."
"01/09/1995","49","CO","","41-051-0087","AQS","49",".","7","31",".","."
"01/10/1995","39","CO","","41-051-0087","AQS","39",".","13","11",".","."
"01/11/1995","44","CO","","41-051-0087","AQS","44",".","4","12",".","."
"01/12/1995","56","CO","","41-051-0087","AQS","56",".","11","9",".","."
"01/13/1995","61","CO","","41-051-0087","AQS","61",".","17","10",".","."
"01/14/1995","33","CO","","41-051-0087","AQS","33",".","6","7",".","."
"01/15/1995","26","CO","","41-051-0087","AQS","26",".","4","10",".","."
"01/16/1995","48","CO","","41-051-0087","AQS","48",".","6","20",".","."
"01/17/1995","50","CO","","41-051-0087","AQS","50",".","7","17",".","."
"01/18/1995","42","CO","","53-011-0010","AQS","42",".","6","14",".","."
"01/19/1995","42","CO","","53-011-0010","AQS","42",".","13","17",".","."
"01/20/1995","30","CO","","41-051-0087","AQS","30",".","13",".",".","."
"01/21/1995","27","CO","","53-011-0010","AQS","27",".","10","17",".","."
"01/22/1995","32","PM10","Portland - SE Lafayette","41-051-0080","AQS","17",".","7","32",".","."
"01/23/1995","33","CO","","53-011-0010","AQS","33",".","9",".",".","."
"01/24/1995","28","CO","","53-011-0010","AQS","28",".","11","14",".","."
"01/25/1995","57","CO","","53-011-0010","AQS","57",".","9","17",".","."
"01/26/1995","42","CO","","41-051-0087","AQS","42",".","11","17",".","."
"01/27/1995","36","CO","","41-051-0087","AQS","36",".","10","35",".","."
"01/28/1995","22","CO","","41-051-0087","AQS","22",".","4","6",".","."
"01/29/1995","22","CO","","41-051-0087","AQS","22",".","7","8",".","."
"01/30/1995","41","CO","","41-051-0087","AQS","41",".","4","11",".","."
"01/31/1995","38","CO","","41-051-0087","AQS","38",".","3",".",".","."
"02/01/1995","49","CO","","41-051-0087","AQS","49",".","11",".",".","."
"02/02/1995","59","CO","","53-011-0010","AQS","59",".","31","42",".","."
"02/03/1995","60","CO","","53-011-0010","AQS","60",".","21",".",".","."
"02/04/1995","66","CO","","53-011-0010","AQS","66",".","9",".",".","."
"02/05/1995","28","CO","","53-011-0010","AQS","28",".","9",".",".","."
"02/06/1995","52","CO","","53-011-0010","AQS","52",".","36","31",".","."
"02/07/1995","53","CO","","53-011-0010","AQS","53",".","36","21",".","."
"02/08/1995","49","CO","","41-051-0078","AQS","49",".","27","46",".","."
"02/09/1995","65","CO","","53-011-0010","AQS","65",".","37","41",".","."
"02/10/1995","67","CO","","41-051-0243","AQS","67",".","19","55",".","."
"02/11/1995","27","CO","","53-011-0010","AQS","27",".","13","15",".","."
"02/12/1995","52","PM10","Portland - SE Lafayette","41-051-0080","AQS","20",".","4","52",".","."
"02/13/1995","24","CO","","53-011-0010","AQS","24",".","21","21",".","."
"02/14/1995","40","PM10","","53-011-0015","AQS","31",".","17","40",".","."
"02/15/1995","35","CO","","41-051-0087","AQS","35",".","6","9",".","."
"02/16/1995","44","CO","","41-051-0087","AQS","44",".","6","14",".","."
"02/17/1995","41","CO","","41-051-0087","AQS","41",".","3","19",".","."
"02/18/1995","26","CO","","41-051-0087","AQS","26",".","10","6",".","."
"02/19/1995","28","CO","","41-051-0078","AQS","28",".","3","13",".","."
"02/20/1995","58","PM10","","41-051-0009","AQS","44",".","37","58",".","."
"02/21/1995","41","SO2","","41-051-0074","AQS","32",".","41","21",".","."
"02/22/1995","43","CO","","53-011-0010","AQS","43",".","27","31",".","."
"02/23/1995","49","CO","","53-011-0010","AQS","49",".","19","44",".","."
"02/24/1995","42","CO","","41-051-0087","AQS","42",".","19","24",".","."
"02/25/1995","39","SO2","","41-051-0074","AQS","30",".","39","21",".","."
"02/26/1995","29","PM10","","41-051-0009","AQS","28",".","16","29",".","."
