"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2012","73","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","2","24","1","5","73","4"
"01/02/2012","43","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","25","1",".","43","10"
"01/03/2012","70","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","13","6",".","70","25"
"01/04/2012","62","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","22","4","24","62","18"
"01/05/2012","51","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","18","3",".","51","25"
"01/06/2012","66","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17","3",".",".","66","19"
"01/07/2012","88","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24","9",".","25","88","22"
"01/08/2012","77","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","26","2",".",".","77","16"
"01/09/2012","73","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","10","2",".",".","73","20"
"01/10/2012","62","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","20",".","20","62","30"
"01/11/2012","72","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","10","29",".",".","72","20"
"01/12/2012","93","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","2","26",".",".","93","12"
"01/13/2012","117","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17","9",".","26","117","27"
"01/14/2012","64","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","18","24","1",".","64","21"
"01/15/2012","71","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","24","0",".","71","10"
"01/16/2012","38","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","25","0","6","38","13"
"01/17/2012","30","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","5","25","0",".","30","25"
"01/18/2012","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","28","1",".","13","16"
"01/19/2012","28","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","7","19","4","6","28","24"
"01/20/2012","27","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","27","4",".","25","22"
"01/21/2012","27","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","27","0",".","15","7"
"01/22/2012","34","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","24","0","8","34","22"
"01/23/2012","70","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","9","6","3",".","70","25"
"01/24/2012","31","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","10","28","3",".","31","19"
"01/25/2012","51","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","25","1","22","51","23"
"01/26/2012","53","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","24","3",".","53","31"
"01/27/2012","81","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19","7","4",".","81","29"
"01/28/2012","106","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24","6","4","38","106","24"
