"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2013","80","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","29","3","6","80","6"
"01/02/2013","114","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS",".","29","3",".","114","5"
"01/03/2013","53","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS",".","28","1",".","53","9"
"01/04/2013","74","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","23","1","14","74","16"
"01/05/2013","68","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","19","4",".","68","17"
"01/06/2013","91","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","25","3",".","91","16"
"01/07/2013","25","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","25","3","5","20","11"
"01/08/2013","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","28","1",".","19","9"
"01/09/2013","35","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","28","1",".","35","20"
"01/10/2013","50","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","23","3","9","50","25"
"01/11/2013","77","PM2.5","Portland - SE Lafayette","41-051-0080","AQS",".","11","9",".","77","27"
"01/12/2013","114","PM2.5","Portland - SE Lafayette","41-051-0080","AQS",".","6","4",".","114","23"
"01/13/2013","76","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS",".","13","1","20","76","22"
"01/14/2013","78","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS",".","6","3",".","78","19"
"01/15/2013","65","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","6","3",".","65","19"
"01/16/2013","71","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","5","6","3","24","71","23"
"01/17/2013","58","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","7","4",".","58","18"
"01/18/2013","91","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","9","2","4",".","91","18"
"01/19/2013","101","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","1","7","35","101","27"
"01/20/2013","90","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","13","9","3",".","90","15"
"01/21/2013","93","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","7","3",".","93","19"
"01/22/2013","103","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","12","3","23","103","18"
"01/23/2013","72","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","11","3",".","72","23"
"01/24/2013","71","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","8","5","4",".","71","22"
"01/25/2013","57","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","9","17","6","14","57","29"
"01/26/2013","47","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","9","27","1",".","47","15"
"01/27/2013","28","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","25","1",".","28","8"
"01/28/2013","35","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","27","3","8","35","18"
"01/29/2013","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","30","1",".","24","13"
"01/30/2013","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","29","1",".","17","8"
"01/31/2013","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","23","1","7","48","18"
"02/01/2013","48","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","14","3",".","48","24"
"02/02/2013","63","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","15","14","6",".","63","22"
"02/03/2013","82","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16","3","4","34","82","17"
"02/04/2013","85","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16","14","6",".","85","27"
"02/05/2013","29","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","29","1",".","23","13"
"02/06/2013","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","5","33","1","6","33","24"
"02/07/2013","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","32","3",".","28","30"
"02/08/2013","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","15",".",".","55","25"
"02/09/2013","61","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","8","15",".","19","61","18"
"02/10/2013","57","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","5","19",".",".","57","20"
"02/11/2013","40","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","3","19",".",".","40","20"
"02/12/2013","38","PM2.5","SAUVIE ISLAND-SIS","41-009-0004","AQS","2","27",".","5","38","8"
"02/13/2013","25","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","25",".",".","21","25"
"02/14/2013","51","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","6","5","3",".","51","27"
"02/15/2013","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","19","3","18","35","22"
"02/16/2013","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","23","1",".","48","25"
"02/17/2013","50","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","7","31","1",".","50","28"
"02/18/2013","55","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","25","4","16","55","19"
"02/19/2013","37","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","26","3",".","37","28"
"02/20/2013","46","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS",".","25","1",".","46","20"
"02/21/2013","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","30","0","9","27","10"
"02/22/2013","31","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","31","0",".","15","9"
"02/23/2013","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","32","0",".","35","24"
"02/24/2013","37","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","34","0","11","37","27"
"02/25/2013","33","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","33","1",".","19","22"
"02/26/2013","54","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","30","1",".","54","24"
"02/27/2013","51","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","27","3","21","51","22"
"02/28/2013","19","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","19","1",".","12","6"
"03/01/2013","24","NO2","Portland - SE Lafayette","41-051-0080","AQS","8","20","3",".","22","24"
"03/02/2013","33","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","9","30","3","10","33","20"
"03/03/2013","34","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","34","1",".","30","30"
"03/04/2013","34","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","32","3",".","34","21"
"03/05/2013","42","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","23","4","16","42","28"
"03/06/2013","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","28","1",".","20","18"
"03/07/2013","34","NO2","Portland - SE Lafayette","41-051-0080","AQS","7","32","4",".","23","34"
"03/08/2013","52","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","8","26","4","10","52","21"
"03/09/2013","59","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","11","26","4",".","59","32"
"03/10/2013","71","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16","10","4",".","71","25"
"03/11/2013","63","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","17","3","31","63","22"
"03/12/2013","33","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","26","1",".","33","24"
"03/13/2013","29","NO2","Portland - SE Lafayette","41-051-0080","AQS","6","22","1",".","26","29"
"03/14/2013","54","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","9","25","3","13","54","22"
"03/15/2013","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","32","1",".","16","16"
"03/16/2013","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","32","3",".","15","11"
"03/17/2013","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","38","1","6","14","9"
"03/18/2013","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","35","1",".","24","30"
"03/19/2013","47","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","5","28","1",".","47","20"
"03/20/2013","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","38","1","4","14","8"
"03/21/2013","42","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","42","1",".","16","9"
"03/22/2013","38","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","38","1",".","33","29"
"03/23/2013","56","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","34","3","16","56","36"
"03/24/2013","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","7","40","3",".","45","18"
"03/25/2013","39","Ozone","Portland - SE Lafayette","41-051-0080","AQS","3","39","4",".","38","31"
"03/26/2013","63","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","8","21","3","17","63","23"
"03/27/2013","46","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","9","29","4",".","46","18"
"03/28/2013","30","Ozone","Portland - SE Lafayette","41-051-0080","AQS","6","30","3",".","24","15"
"03/29/2013","43","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","29","1","15","43","29"
"03/30/2013","42","PM2.5","YACOLT - YACOLT RD","53-011-0022","AQS","3","29","3",".","42","19"
"03/31/2013","45","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","3","37","3",".","45","15"
"04/01/2013","32","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","2","27","1","7","32","15"
"04/02/2013","25","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","25","1",".","21","16"
"04/03/2013","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","5","12","1",".","40","25"
"04/04/2013","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","31","1","16","33","18"
"04/05/2013","32","Ozone","Portland - SE Lafayette","41-051-0080","AQS","2","32","1",".","13","6"
