"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2000","49","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","16",".","9","49","."
"01/02/2000","20","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19",".","6","20","."
"01/03/2000","28","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","27",".","6","28","."
"01/04/2000","23","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","19",".","6","23","."
"01/05/2000","71","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","49",".","26","71","."
"01/06/2000","76","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","50",".","26","76","."
"01/07/2000","79","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","41",".","35","79","."
"01/08/2000","20","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","20",".","6","20","."
"01/09/2000","16","CO","","41-051-0243","AQS","16",".","6","14","."
"01/10/2000","41","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","36",".","9","41","."
"01/11/2000","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","30",".","8","36","."
"01/12/2000","33","CO","","41-051-0087","AQS","33",".","6","24","."
"01/13/2000","39","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","38",".","15","39","."
"01/14/2000","28","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","28",".","8","28","."
"01/15/2000","54","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","35",".","12","54","."
"01/16/2000","18","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","17",".","6","18","."
"01/17/2000","60","CO","","53-011-0010","AQS","60",".","15","56","."
"01/18/2000","84","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","67",".","26","84","."
"01/19/2000","86","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","68",".","37","86","."
"01/20/2000","41","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","35",".","8","41","."
"01/21/2000","38","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","31",".","12","38","."
"01/22/2000","53","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","20",".","11","53","."
"01/23/2000","33","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","33",".","7","33","."
"01/24/2000","49","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","35",".","6","49","."
"01/25/2000","55","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","41",".","19","55","."
"01/26/2000","42","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","38",".","13","42","."
"01/27/2000","75","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","58",".","22","75","."
"01/28/2000","92","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","61",".","8","92","."
"01/29/2000","29","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","27",".","6","29","."
"01/30/2000","35","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","20",".","13","35","."
"01/31/2000","60","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","28",".","21","60","."
"02/01/2000","20","CO","","41-051-0087","AQS","20",".","5","12","."
