STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00203858,"HOLLAND, MI US",8/29/1905,0,0,24.4,20.6
USC00203858,"HOLLAND, MI US",8/30/1905,0.5,0,23.9,19.4
USC00203858,"HOLLAND, MI US",8/31/1905,0,0,20,12.2
USC00203858,"HOLLAND, MI US",9/1/1905,4.1,0,20.6,15.6
USC00203858,"HOLLAND, MI US",9/2/1905,26.7,0,19.4,17.8
USC00203858,"HOLLAND, MI US",9/3/1905,3.8,0,17.2,12.2
USC00203858,"HOLLAND, MI US",9/4/1905,23.4,0,15.6,11.1
USC00203858,"HOLLAND, MI US",9/5/1905,3,0,16.7,13.9
USC00203858,"HOLLAND, MI US",9/6/1905,0,0,16.7,10
USC00203858,"HOLLAND, MI US",9/7/1905,0,0,16.1,8.3
USC00203858,"HOLLAND, MI US",9/8/1905,0,0,17.2,10
USC00203858,"HOLLAND, MI US",9/9/1905,0,0,19.4,13.3
USC00203858,"HOLLAND, MI US",9/10/1905,0,0,20.6,17.2
USC00203858,"HOLLAND, MI US",9/11/1905,0,0,19.4,13.3
USC00203858,"HOLLAND, MI US",9/12/1905,0,0,17.8,15
USC00203858,"HOLLAND, MI US",9/13/1905,0,0,18.3,7.2
USC00203858,"HOLLAND, MI US",9/14/1905,0,0,23.9,5.6
USC00203858,"HOLLAND, MI US",9/15/1905,0,0,21.1,13.3
USC00203858,"HOLLAND, MI US",9/16/1905,29.7,0,18.3,12.2
USC00203858,"HOLLAND, MI US",9/17/1905,0,0,18.9,17.8
USC00203858,"HOLLAND, MI US",9/18/1905,1.3,0,26.1,16.1
USC00203858,"HOLLAND, MI US",9/19/1905,0,0,23.9,16.7
USC00203858,"HOLLAND, MI US",9/20/1905,0,0,20.6,13.3
USC00203858,"HOLLAND, MI US",9/21/1905,0,0,17.2,15
USC00203858,"HOLLAND, MI US",9/22/1905,0,0,22.2,11.7
USC00203858,"HOLLAND, MI US",9/23/1905,0,0,16.1,9.4
USC00203858,"HOLLAND, MI US",9/24/1905,0,0,17.2,10
USC00203858,"HOLLAND, MI US",9/25/1905,0,0,18.9,4.4
USC00203858,"HOLLAND, MI US",9/26/1905,0,0,15.6,4.4
USC00203858,"HOLLAND, MI US",9/27/1905,0,0,15.6,4.4
USC00203858,"HOLLAND, MI US",9/28/1905,0,0,17.8,15
USC00203858,"HOLLAND, MI US",9/29/1905,0,0,21.1,12.8
USC00203858,"HOLLAND, MI US",9/30/1905,0,0,26.1,16.1
USC00203858,"HOLLAND, MI US",10/1/1905,10.9,0,25,15.6
USC00203858,"HOLLAND, MI US",10/2/1905,0,0,21.1,11.1
USC00203858,"HOLLAND, MI US",10/3/1905,0,0,18.9,12.2
USC00203858,"HOLLAND, MI US",10/4/1905,0,0,21.7,16.1
USC00203858,"HOLLAND, MI US",10/5/1905,0,0,25,11.1
USC00203858,"HOLLAND, MI US",10/6/1905,0,0,11.1,3.3
USC00203858,"HOLLAND, MI US",10/7/1905,0,0,16.1,7.8
USC00203858,"HOLLAND, MI US",10/8/1905,0,0,18.3,11.1
USC00203858,"HOLLAND, MI US",10/9/1905,0,0,18.9,10
USC00203858,"HOLLAND, MI US",10/10/1905,20.3,0,18.9,10
USC00203858,"HOLLAND, MI US",10/11/1905,5.6,0,10.6,2.2
USC00203858,"HOLLAND, MI US",10/12/1905,3.3,0,5.6,2.2
USC00203858,"HOLLAND, MI US",10/13/1905,0,0,18.3,2.2
USC00203858,"HOLLAND, MI US",10/14/1905,0,0,16.1,10.6
USC00203858,"HOLLAND, MI US",10/15/1905,2.5,0,15.6,10
USC00203858,"HOLLAND, MI US",10/16/1905,0,0,12.2,10
USC00203858,"HOLLAND, MI US",10/17/1905,25.4,0,15.6,6.1
USC00203858,"HOLLAND, MI US",10/18/1905,54.1,0,15.6,10.6
USC00203858,"HOLLAND, MI US",10/19/1905,13.2,0,11.1,9.4
USC00203858,"HOLLAND, MI US",10/20/1905,0.8,0,13.3,2.2
USC00203858,"HOLLAND, MI US",10/21/1905,0,0,7.2,1.1
USC00203858,"HOLLAND, MI US",10/22/1905,0,0,7.2,5
USC00203858,"HOLLAND, MI US",10/23/1905,0,0,6.7,5
USC00203858,"HOLLAND, MI US",10/24/1905,0,0,6.7,-2.8
USC00203858,"HOLLAND, MI US",10/25/1905,0,0,3.3,-3.9
USC00203858,"HOLLAND, MI US",10/26/1905,0,0,8.9,-3.9
USC00203858,"HOLLAND, MI US",10/27/1905,0.8,0,6.1,5
USC00203858,"HOLLAND, MI US",10/28/1905,0,0,5,-6.7
USC00203858,"HOLLAND, MI US",10/29/1905,0,0,2.2,-6.7
