STATION,STATION_NAME,DATE,PRCPA,TMAXA,TMINA
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140228,25.4,17.2,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140301,5.1,13.3,1.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140302,0.8,13.9,2.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140303,1.5,12.2,2.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140304,0,13.9,0.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140305,0.3,11.1,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140306,0,16.7,4.4
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140307,0,13.3,5
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140308,0,13.9,-0.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140309,0,14.4,-2.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140310,0,17.8,0.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140311,0,18.3,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140312,1,15.6,7.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140313,3.3,16.1,8.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140314,7.6,11.1,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140315,6.4,12.2,8.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140316,0,20,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140317,0,20,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140318,0,14.4,1.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140319,0,18.9,2.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140320,0,26.1,0.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140321,0,20,1.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140322,1.3,14.4,1.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140323,0,20.6,-11.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140324,1.3,15.6,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140325,2.5,10.6,3.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140326,6.6,11.1,0
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140327,1.5,11.1,0
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140328,5.8,15.6,3.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140329,1.8,17.8,2.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140330,15.2,13.3,1.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140331,0.5,14.4,2.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140401,0,14.4,2.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140402,9.7,21.1,7.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140403,10.2,23.3,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140404,8.9,17.8,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140405,0,17.2,2.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140406,0,16.7,0
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140407,0,18.9,1.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140408,0,18.9,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140409,0,18.9,4.4
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140410,3.3,17.8,9.4
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140411,0,18.9,6.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140412,0,18.3,2.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140413,12.4,18.9,8.9
