STATION,STATION_NAME,DATE,PRCP
GHCND:USC00444128,HOT SPRINGS VA US,18930911,38.4
GHCND:USC00444128,HOT SPRINGS VA US,18930912,20.8
GHCND:USC00444128,HOT SPRINGS VA US,18930913,4.8
GHCND:USC00444128,HOT SPRINGS VA US,18930914,2
GHCND:USC00444128,HOT SPRINGS VA US,18930923,0
GHCND:USC00444128,HOT SPRINGS VA US,18930925,10.9
GHCND:USC00444128,HOT SPRINGS VA US,18930926,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18931004,22.9
GHCND:USC00444128,HOT SPRINGS VA US,18931013,39.4
GHCND:USC00444128,HOT SPRINGS VA US,18931020,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18931021,33.5
GHCND:USC00444128,HOT SPRINGS VA US,18931022,11.2
GHCND:USC00444128,HOT SPRINGS VA US,18931023,8.1
GHCND:USC00444128,HOT SPRINGS VA US,18931027,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18931104,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18931105,12.7
GHCND:USC00444128,HOT SPRINGS VA US,18931115,0
GHCND:USC00444128,HOT SPRINGS VA US,18931121,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18931128,31.2
GHCND:USC00444128,HOT SPRINGS VA US,18931129,0
GHCND:USC00444128,HOT SPRINGS VA US,18931201,0
GHCND:USC00444128,HOT SPRINGS VA US,18931202,0
GHCND:USC00444128,HOT SPRINGS VA US,18931203,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18931204,0
GHCND:USC00444128,HOT SPRINGS VA US,18931205,0
GHCND:USC00444128,HOT SPRINGS VA US,18931206,0
GHCND:USC00444128,HOT SPRINGS VA US,18931207,0
GHCND:USC00444128,HOT SPRINGS VA US,18931208,0
GHCND:USC00444128,HOT SPRINGS VA US,18931209,0
GHCND:USC00444128,HOT SPRINGS VA US,18931210,0
GHCND:USC00444128,HOT SPRINGS VA US,18931211,0
GHCND:USC00444128,HOT SPRINGS VA US,18931212,0
GHCND:USC00444128,HOT SPRINGS VA US,18931213,0
GHCND:USC00444128,HOT SPRINGS VA US,18931214,0
GHCND:USC00444128,HOT SPRINGS VA US,18931215,0
GHCND:USC00444128,HOT SPRINGS VA US,18931216,7.4
GHCND:USC00444128,HOT SPRINGS VA US,18931218,0
GHCND:USC00444128,HOT SPRINGS VA US,18931219,0
GHCND:USC00444128,HOT SPRINGS VA US,18931220,0
GHCND:USC00444128,HOT SPRINGS VA US,18931221,0
GHCND:USC00444128,HOT SPRINGS VA US,18931222,0
GHCND:USC00444128,HOT SPRINGS VA US,18931223,0
GHCND:USC00444128,HOT SPRINGS VA US,18931224,0
GHCND:USC00444128,HOT SPRINGS VA US,18931225,0
GHCND:USC00444128,HOT SPRINGS VA US,18931226,0
GHCND:USC00444128,HOT SPRINGS VA US,18931227,0
GHCND:USC00444128,HOT SPRINGS VA US,18931228,6.1
GHCND:USC00444128,HOT SPRINGS VA US,18931229,0
GHCND:USC00444128,HOT SPRINGS VA US,18931230,17
GHCND:USC00444128,HOT SPRINGS VA US,18931231,0
GHCND:USC00444128,HOT SPRINGS VA US,18940105,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18940107,0
GHCND:USC00444128,HOT SPRINGS VA US,18940110,0
GHCND:USC00444128,HOT SPRINGS VA US,18940111,5.6
GHCND:USC00444128,HOT SPRINGS VA US,18940115,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18940121,5.3
GHCND:USC00444128,HOT SPRINGS VA US,18940124,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18940129,7.1
GHCND:USC00444128,HOT SPRINGS VA US,18940203,13
GHCND:USC00444128,HOT SPRINGS VA US,18940204,12.2
GHCND:USC00444128,HOT SPRINGS VA US,18940208,4.1
GHCND:USC00444128,HOT SPRINGS VA US,18940209,4.8
GHCND:USC00444128,HOT SPRINGS VA US,18940212,7.1
GHCND:USC00444128,HOT SPRINGS VA US,18940215,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18940218,13.5
GHCND:USC00444128,HOT SPRINGS VA US,18940221,6.9
GHCND:USC00444128,HOT SPRINGS VA US,18940222,7.4
GHCND:USC00444128,HOT SPRINGS VA US,18940225,25.4
GHCND:USC00444128,HOT SPRINGS VA US,18940226,7.6
GHCND:USC00444128,HOT SPRINGS VA US,18940315,2
GHCND:USC00444128,HOT SPRINGS VA US,18940316,15
GHCND:USC00444128,HOT SPRINGS VA US,18940317,6.6
GHCND:USC00444128,HOT SPRINGS VA US,18940321,0.8
GHCND:USC00444128,HOT SPRINGS VA US,18940329,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18940407,8.1
GHCND:USC00444128,HOT SPRINGS VA US,18940409,1
GHCND:USC00444128,HOT SPRINGS VA US,18940410,14.5
GHCND:USC00444128,HOT SPRINGS VA US,18940420,1.5
GHCND:USC00444128,HOT SPRINGS VA US,18940421,6.6
GHCND:USC00444128,HOT SPRINGS VA US,18940427,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18940428,0.5
GHCND:USC00444128,HOT SPRINGS VA US,18940429,7.9
GHCND:USC00444128,HOT SPRINGS VA US,18940502,2
GHCND:USC00444128,HOT SPRINGS VA US,18940505,2.8
GHCND:USC00444128,HOT SPRINGS VA US,18940516,3
GHCND:USC00444128,HOT SPRINGS VA US,18940518,10.2
GHCND:USC00444128,HOT SPRINGS VA US,18940519,27.2
GHCND:USC00444128,HOT SPRINGS VA US,18940520,6.9
GHCND:USC00444128,HOT SPRINGS VA US,18940521,1
GHCND:USC00444128,HOT SPRINGS VA US,18940522,13.2
GHCND:USC00444128,HOT SPRINGS VA US,18940526,4.8
GHCND:USC00444128,HOT SPRINGS VA US,18940527,6.1
GHCND:USC00444128,HOT SPRINGS VA US,18940528,8.9
GHCND:USC00444128,HOT SPRINGS VA US,18940530,0
GHCND:USC00444128,HOT SPRINGS VA US,18940602,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18940606,30.5
GHCND:USC00444128,HOT SPRINGS VA US,18940613,6.1
GHCND:USC00444128,HOT SPRINGS VA US,18940620,5.8
GHCND:USC00444128,HOT SPRINGS VA US,18940625,2
GHCND:USC00444128,HOT SPRINGS VA US,18940627,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18940629,7.1
GHCND:USC00444128,HOT SPRINGS VA US,18940714,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18940715,0
GHCND:USC00444128,HOT SPRINGS VA US,18940717,0
GHCND:USC00444128,HOT SPRINGS VA US,18940722,17
GHCND:USC00444128,HOT SPRINGS VA US,18940723,3.3
GHCND:USC00444128,HOT SPRINGS VA US,18940729,1.5
GHCND:USC00444128,HOT SPRINGS VA US,18940730,1.5
GHCND:USC00444128,HOT SPRINGS VA US,18940731,12.2
GHCND:USC00444128,HOT SPRINGS VA US,18940801,5.8
GHCND:USC00444128,HOT SPRINGS VA US,18940810,3.8
GHCND:USC00444128,HOT SPRINGS VA US,18940811,0
GHCND:USC00444128,HOT SPRINGS VA US,18940812,4.6
GHCND:USC00444128,HOT SPRINGS VA US,18940815,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18940818,0
GHCND:USC00444128,HOT SPRINGS VA US,18940819,0
GHCND:USC00444128,HOT SPRINGS VA US,18940820,6.1
GHCND:USC00444128,HOT SPRINGS VA US,18940825,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18940826,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18940827,0
GHCND:USC00444128,HOT SPRINGS VA US,18940906,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18940910,1.8
GHCND:USC00444128,HOT SPRINGS VA US,18940912,3
GHCND:USC00444128,HOT SPRINGS VA US,18940916,34.3
GHCND:USC00444128,HOT SPRINGS VA US,18940917,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18940918,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18940919,33.5
GHCND:USC00444128,HOT SPRINGS VA US,18940929,10.2
GHCND:USC00444128,HOT SPRINGS VA US,18940930,31
GHCND:USC00444128,HOT SPRINGS VA US,18941003,1.8
GHCND:USC00444128,HOT SPRINGS VA US,18941004,3.6
GHCND:USC00444128,HOT SPRINGS VA US,18941009,4.1
GHCND:USC00444128,HOT SPRINGS VA US,18941010,7.6
GHCND:USC00444128,HOT SPRINGS VA US,18941026,0
GHCND:USC00444128,HOT SPRINGS VA US,18941027,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18941030,10.9
GHCND:USC00444128,HOT SPRINGS VA US,18941031,30.5
GHCND:USC00444128,HOT SPRINGS VA US,18941103,11.2
GHCND:USC00444128,HOT SPRINGS VA US,18941106,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18941108,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18941109,2.8
GHCND:USC00444128,HOT SPRINGS VA US,18941111,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18941117,0
GHCND:USC00444128,HOT SPRINGS VA US,18941123,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18941202,0.3
GHCND:USC00444128,HOT SPRINGS VA US,18941208,15.2
GHCND:USC00444128,HOT SPRINGS VA US,18941210,7.6
GHCND:USC00444128,HOT SPRINGS VA US,18941211,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18941212,24.6
GHCND:USC00444128,HOT SPRINGS VA US,18941216,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18941225,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18941226,16.5
GHCND:USC00444128,HOT SPRINGS VA US,18941227,6.4
GHCND:USC00444128,HOT SPRINGS VA US,18950107,0
GHCND:USC00444128,HOT SPRINGS VA US,18950113,15.2
GHCND:USC00444128,HOT SPRINGS VA US,18950115,0.8
GHCND:USC00444128,HOT SPRINGS VA US,18950116,12.2
GHCND:USC00444128,HOT SPRINGS VA US,18950121,8.9
GHCND:USC00444128,HOT SPRINGS VA US,18950122,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18950125,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18950126,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18950127,8.4
GHCND:USC00444128,HOT SPRINGS VA US,18950202,7.6
GHCND:USC00444128,HOT SPRINGS VA US,18950207,20.3
GHCND:USC00444128,HOT SPRINGS VA US,18950212,10.2
GHCND:USC00444128,HOT SPRINGS VA US,18950216,13.7
GHCND:USC00444128,HOT SPRINGS VA US,18950718,0
GHCND:USC00444128,HOT SPRINGS VA US,18951008,0
GHCND:USC00444128,HOT SPRINGS VA US,18951009,0
GHCND:USC00444128,HOT SPRINGS VA US,18951027,12.7
GHCND:USC00444128,HOT SPRINGS VA US,18951031,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18951107,0
GHCND:USC00444128,HOT SPRINGS VA US,18951110,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18951112,0
GHCND:USC00444128,HOT SPRINGS VA US,18951115,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18951118,12.7
GHCND:USC00444128,HOT SPRINGS VA US,18951119,0
GHCND:USC00444128,HOT SPRINGS VA US,18951120,0
GHCND:USC00444128,HOT SPRINGS VA US,18951125,0
GHCND:USC00444128,HOT SPRINGS VA US,18951126,0
GHCND:USC00444128,HOT SPRINGS VA US,18960201,0
GHCND:USC00444128,HOT SPRINGS VA US,18960202,11.9
GHCND:USC00444128,HOT SPRINGS VA US,18960203,13
GHCND:USC00444128,HOT SPRINGS VA US,18960204,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960205,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960206,26.2
GHCND:USC00444128,HOT SPRINGS VA US,18960208,2.3
GHCND:USC00444128,HOT SPRINGS VA US,18960209,0
GHCND:USC00444128,HOT SPRINGS VA US,18960213,22.9
GHCND:USC00444128,HOT SPRINGS VA US,18960219,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960228,13
GHCND:USC00444128,HOT SPRINGS VA US,18960229,0.5
GHCND:USC00444128,HOT SPRINGS VA US,18960306,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18960307,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18960311,25.4
GHCND:USC00444128,HOT SPRINGS VA US,18960315,12.7
GHCND:USC00444128,HOT SPRINGS VA US,18960316,16.5
GHCND:USC00444128,HOT SPRINGS VA US,18960319,10.9
GHCND:USC00444128,HOT SPRINGS VA US,18960323,20.1
GHCND:USC00444128,HOT SPRINGS VA US,18960326,3
GHCND:USC00444128,HOT SPRINGS VA US,18960329,34.5
GHCND:USC00444128,HOT SPRINGS VA US,18960331,17.8
GHCND:USC00444128,HOT SPRINGS VA US,18960403,0
GHCND:USC00444128,HOT SPRINGS VA US,18960409,6.6
GHCND:USC00444128,HOT SPRINGS VA US,18960421,0
GHCND:USC00444128,HOT SPRINGS VA US,18960424,10.2
GHCND:USC00444128,HOT SPRINGS VA US,18960429,4.6
GHCND:USC00444128,HOT SPRINGS VA US,18960430,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18960502,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18960503,11.2
GHCND:USC00444128,HOT SPRINGS VA US,18960505,0
GHCND:USC00444128,HOT SPRINGS VA US,18960512,5.8
GHCND:USC00444128,HOT SPRINGS VA US,18960518,3
GHCND:USC00444128,HOT SPRINGS VA US,18960519,0.8
GHCND:USC00444128,HOT SPRINGS VA US,18960520,41.1
GHCND:USC00444128,HOT SPRINGS VA US,18960521,2
GHCND:USC00444128,HOT SPRINGS VA US,18960523,7.9
GHCND:USC00444128,HOT SPRINGS VA US,18960526,12.4
GHCND:USC00444128,HOT SPRINGS VA US,18960527,0
GHCND:USC00444128,HOT SPRINGS VA US,18960528,2.8
GHCND:USC00444128,HOT SPRINGS VA US,18960603,8.9
