Sample Name,Park,Replicate,Analyte,Mass,Concentration
14,G,3,Tb,159,0
14,G,3,Lu,175,0
14,G,3,Pb,206,0.02
14,G,3,Pb,207,0.016
14,G,3,Pb,208,0.04
14,G,3,Bi,209,0
15,B,2,Li,6,0
15,B,2,Sc,45,0
15,B,2,Cr,52,0.024
15,B,2,Ge,72,0
15,B,2,As,75,-36.035
15,B,2,Se,78,-0.001
15,B,2,Rh,103,0
15,B,2,Ag,107,0.001
15,B,2,In,115,0
15,B,2,Ba,137,0.27
15,B,2,Tb,159,0
15,B,2,Lu,175,0
15,B,2,Pb,206,0.007
15,B,2,Pb,207,0.005
15,B,2,Pb,208,0.013
15,B,2,Bi,209,0
16,B,1,Li,6,0
16,B,1,Sc,45,0
16,B,1,Cr,52,0.023
16,B,1,Ge,72,0
16,B,1,As,75,-77.821
16,B,1,Se,78,0
16,B,1,Rh,103,0
16,B,1,Ag,107,0.001
16,B,1,In,115,0
16,B,1,Ba,137,0.263
16,B,1,Tb,159,0
16,B,1,Lu,175,0
16,B,1,Pb,206,0.01
16,B,1,Pb,207,0.008
16,B,1,Pb,208,0.018
16,B,1,Bi,209,0
17,W,2,Li,6,0
17,W,2,Sc,45,0
17,W,2,Cr,52,0.025
17,W,2,Ge,72,0
17,W,2,As,75,-116.974
17,W,2,Se,78,0
17,W,2,Rh,103,0
17,W,2,Ag,107,0.004
17,W,2,In,115,0
17,W,2,Ba,137,0.221
17,W,2,Tb,159,0
17,W,2,Lu,175,0
17,W,2,Pb,206,0.013
17,W,2,Pb,207,0.01
17,W,2,Pb,208,0.026
17,W,2,Bi,209,0
18,C,2,Li,6,0
18,C,2,Sc,45,0
18,C,2,Cr,52,0.018
18,C,2,Ge,72,0
18,C,2,As,75,-40.582
18,C,2,Se,78,0
18,C,2,Rh,103,0
18,C,2,Ag,107,0
18,C,2,In,115,0
18,C,2,Ba,137,0.161
18,C,2,Tb,159,0
18,C,2,Lu,175,0
18,C,2,Pb,206,0.009
18,C,2,Pb,207,0.007
18,C,2,Pb,208,0.018
18,C,2,Bi,209,0
19,W,4,Li,6,0
19,W,4,Sc,45,0
19,W,4,Cr,52,0.025
19,W,4,Ge,72,0
19,W,4,As,75,-53.842
19,W,4,Se,78,0
19,W,4,Rh,103,0
19,W,4,Ag,107,0.001
19,W,4,In,115,0
19,W,4,Ba,137,0.214
19,W,4,Tb,159,0
19,W,4,Lu,175,0
19,W,4,Pb,206,0.019
19,W,4,Pb,207,0.016
19,W,4,Pb,208,0.04
19,W,4,Bi,209,0
20,W,5,Li,6,0
20,W,5,Sc,45,0
20,W,5,Cr,52,0.023
20,W,5,Ge,72,0
20,W,5,As,75,-49.49
20,W,5,Se,78,0
20,W,5,Rh,103,0
20,W,5,Ag,107,0.001
20,W,5,In,115,0
20,W,5,Ba,137,0.191
20,W,5,Tb,159,0
20,W,5,Lu,175,0
20,W,5,Pb,206,0.017
20,W,5,Pb,207,0.014
20,W,5,Pb,208,0.035
20,W,5,Bi,209,0
21,G,4,Li,6,0
21,G,4,Sc,45,0
21,G,4,Cr,52,0.021
21,G,4,Ge,72,0
21,G,4,As,75,-41.243
21,G,4,Se,78,0
21,G,4,Rh,103,0
21,G,4,Ag,107,0.001
21,G,4,In,115,0
21,G,4,Ba,137,0.129
