Sample Name,Date and Time Acquired,Dilution Factor,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Misc. Info or Comment,Sample Weihgt or Volume,Final Weight or Volume,Dilution Multiplier,Tune Step,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,Min Conc,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,Conc Rep1,Conc Rep2,Conc Rep3,CPS RSD,Units
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,0.000,N/A,0.000,233.34,310.01,220.00,170.00,0.000,0.000,0.000,30.4,ppm
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,In,indium,115,,,,0.000,2204637.31,2475227.93,1620614.04,2518069.96,,,,23.0,
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ba,barium,137,115,0.000,N/A,0.000,4274.04,4140.65,4850.91,3830.56,-0.001,0.003,-0.002,12.2,ppm
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Tb,terbium,159,,,,0.000,2402722.00,2668553.09,1677970.76,2861642.14,,,,26.4,
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Lu,lutetium,175,,,,0.000,2876846.62,3327947.45,2045509.97,3257082.45,,,,25.1,
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Pb,lead,208,209,0.000,N/A,0.000,6641.79,6411.65,7172.10,6341.62,-0.001,0.001,-0.001,6.9,ppm
Blank,10/27/2017 12:26:25 PM,1,002CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Bi,bismuth,209,,,,0.000,1854989.71,2157655.75,1386093.57,2021219.81,,,,22.2,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Li,lithium,6,,,,0.000,34150.73,37398.45,34100.28,30953.45,,,,9.4,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,1295577.06,1313148.73,1373931.23,1199651.23,,,,6.8,
Std 1/100,10/27/2017 12:28:35 PM,1,003CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Cr,chromium,52,45,0.096,10.2,0.000,236446.74,230876.36,239452.57,239011.29,0.091,0.090,0.107,2.0,ppm
