State,Station_ID,Startyear,Endyear,gif_private,png_private,Map.png,GSOM_1975.png,GSOM_1975_anomaly.png,Records.png,panel4.png,GSOM_dnorm.png,KISS.png,GSOM_estPDF.png,panel4.gif,GSOM_dnorm.gif
Georgia,USC00098740,1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Georgia_USC00098740_MAP.png,Georgia_USC00098740_GSOM_1975.png,Georgia_USC00098740_GSOM_anomaly_1975.png,Georgia_USC00098740_CHCND_Temp_Records.png,Georgia_USC00098740_4panel.png,Georgia_USC00098740_GSOM_dnorm.png,Georgia_USC00098740_KISS.png,Georgia_USC00098740_GSOM_estPDF.png,Georgia_USC00098740_4panel.gif,Georgia_USC00098740_GSOM_dnorm.gif
Guam,"GUAM INTERNATIONAL AIRPORT, US (ID: GHCND:GQW00041415)",1957,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Guam_GQW00041415_MAP.png,Guam_GQW00041415_GSOM_1975.png,Guam_GQW00041415_GSOM_anomaly_1975.png,Guam_GQW00041415_CHCND_Temp_Records.png,Guam_GQW00041415_4panel.png,Guam_GQW00041415_GSOM_dnorm.png,Guam_GQW00041415_KISS.png,Guam_GQW00041415_GSOM_estPDF.png,Guam_GQW00041415_4panel.gif,Guam_GQW00041415_GSOM_dnorm.gif
Hawaii,USC00516588,1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Hawaii_USC00516588_MAP.png,Hawaii_USC00516588_GSOM_1975.png,Hawaii_USC00516588_GSOM_anomaly_1975.png,Hawaii_USC00516588_CHCND_Temp_Records.png,Hawaii_USC00516588_4panel.png,Hawaii_USC00516588_GSOM_dnorm.png,Hawaii_USC00516588_KISS.png,Hawaii_USC00516588_GSOM_estPDF.png,Hawaii_USC00516588_4panel.gif,Hawaii_USC00516588_GSOM_dnorm.gif
Idaho,"Porthill, ID US (ID: GHCND:USC00107264)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Idaho_USC00107264_MAP.png,Idaho_USC00107264_GSOM_1975.png,Idaho_USC00107264_GSOM_anomaly_1975.png,Idaho_USC00107264_CHCND_Temp_Records.png,Idaho_USC00107264_4panel.png,Idaho_USC00107264_GSOM_dnorm.png,Idaho_USC00107264_KISS.png,Idaho_USC00107264_GSOM_estPDF.png,Idaho_USC00107264_4panel.gif,Idaho_USC00107264_GSOM_dnorm.gif
Illinois,"KEOKUK LOCK DAM 19, IA US (ID:GHCND:USC00134381)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Illinois_USC00134381_MAP.png,Illinois_USC00134381_GSOM_1975.png,Illinois_USC00134381_GSOM_anomaly_1975.png,Illinois_USC00134381_CHCND_Temp_Records.png,Illinois_USC00134381_4panel.png,Illinois_USC00134381_GSOM_dnorm.png,Illinois_USC00134381_KISS.png,Illinois_USC00134381_GSOM_estPDF.png,Illinois_USC00134381_4panel.gif,Illinois_USC00134381_GSOM_dnorm.gif
Indiana,"Mount Vernon, IN US (ID: GHCND:USC00126001)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Indiana_USC00126001_MAP.png,Indiana_USC00126001_GSOM_1975.png,Indiana_USC00126001_GSOM_anomaly_1975.png,Indiana_USC00126001_CHCND_Temp_Records.png,Indiana_USC00126001_4panel.png,Indiana_USC00126001_GSOM_dnorm.png,Indiana_USC00126001_KISS.png,Indiana_USC00126001_GSOM_estPDF.png,Indiana_USC00126001_4panel.gif,Indiana_USC00126001_GSOM_dnorm.gif
Iowa,"Koekuk Lock Dam, IA US (ID: GHCND:USC00134381)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Iowa_USC00134381_MAP.png,Iowa_USC00134381_GSOM_1975.png,Iowa_USC00134381_GSOM_anomaly_1975.png,Iowa_USC00134381_CHCND_Temp_Records.png,Iowa_USC00134381_4panel.png,Iowa_USC00134381_GSOM_dnorm.png,Iowa_USC00134381_KISS.png,Iowa_USC00134381_GSOM_estPDF.png,Iowa_USC00134381_4panel.gif,Iowa_USC00134381_GSOM_dnorm.gif
Kansas,"HORTON, KS US (ID:GHCND:USC00143810)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Kansas_USC00143810_MAP.png,Kansas_USC00143810_GSOM_1975.png,Kansas_USC00143810_GSOM_anomaly_1975.png,Kansas_USC00143810_CHCND_Temp_Records.png,Kansas_USC00143810_4panel.png,Kansas_USC00143810_GSOM_dnorm.png,Kansas_USC00143810_KISS.png,Kansas_USC00143810_GSOM_estPDF.png,Kansas_USC00143810_4panel.gif,Kansas_USC00143810_GSOM_dnorm.gif
Kentucky,"LEXINGTON BLUEGRASS AIRPORT, KY US (ID:GHCND:USW00093820)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Kentucky_USW00093820_MAP.png,Kentucky_USW00093820_GSOM_1975.png,Kentucky_USW00093820_GSOM_anomaly_1975.png,Kentucky_USW00093820_CHCND_Temp_Records.png,Kentucky_USW00093820_4panel.png,Kentucky_USW00093820_GSOM_dnorm.png,Kentucky_USW00093820_KISS.png,Kentucky_USW00093820_GSOM_estPDF.png,Kentucky_USW00093820_4panel.gif,Kentucky_USW00093820_GSOM_dnorm.gif
Louisiana,"ALEXANDRIA, LA US (ID:GHCND:USC00160098)",1893,2022,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/Climate_gifs/,/home/CAMPUS/mwl04747/github/Climate_Change_Narratives/Social_Media/State_htmls/png/,Louisiana_USC00160098_MAP.png,Louisiana_USC00160098_GSOM_1975.png,Louisiana_USC00160098_GSOM_anomaly_1975.png,Louisiana_USC00160098_CHCND_Temp_Records.png,Louisiana_USC00160098_4panel.png,Louisiana_USC00160098_GSOM_dnorm.png,Louisiana_USC00160098_KISS.png,Louisiana_USC00160098_GSOM_estPDF.png,Louisiana_USC00160098_4panel.gif,Louisiana_USC00160098_GSOM_dnorm.gif
