Stock,Site,Treatment,Pretreatment,Error,N,Delta,Error,N
Forest Floor,SC,Control,4.85,0.05,3,2.44,0.46,3
Forest Floor,SC,Prescribed Fire,4.88,0.4,3,-2.22,0.25,3
Forest Floor,SC,Mechanical,4.01,0.31,3,0.28,0.75,3
Forest Floor,SC,Mechanical+Fire,3.75,0.77,3,-2.23,0.7,3
Forest Floor,NC,Control,14.32,1.04,3,3.57,2.03,3
Forest Floor,NC,Prescribed Fire,17.89,2.31,3,-10.46,2.89,3
Forest Floor,NC,Mechanical,15.01,2.06,3,1.79,0.77,3
Forest Floor,NC,Mechanical+Fire,15.56,2.29,3,-9.36,0.81,3
Forest Floor,FL ,Control,1.99,NA,1,NA,NA,NA
Forest Floor,FL ,Prescribed Fire,1.27,0.85,3,-2.23,NA,1
Forest Floor,FL ,Mechanical,2.95,1.24,2,-0.12,0.01,2
Forest Floor,FL ,Mechanical+Fire,0.29,0.11,2,1.09,0.28,2
Deadwood Site,Ca-N,Control,14.14,0.39,3,2.01,0.35,3
Deadwood Site,Ca-N,Prescribed Fire,17.09,4.22,3,-3.14,1.58,3
Deadwood Site,Ca-N,Mechanical,NA,NA,NA,NA,NA,NA
Deadwood Site,Ca-N,Mechanical+Fire,NA,NA,NA,NA,NA,NA
Deadwood Site,WA,Control,10.95,1.97,4,-0.41,1.25,4
Deadwood Site,WA,Prescribed Fire,15.43,4.29,2,-3.13,0.13,2
Deadwood Site,WA,Mechanical,15.13,2.12,4,33.77,7.16,4
Deadwood Site,WA,Mechanical+Fire,17.24,0.04,2,23.69,4.98,2
Deadwood Site,Ca-C,Control,37.51,9.16,3,5.43,1.25,3
Deadwood Site,Ca-C,Prescribed Fire,29.8,4.57,3,-20.17,4.99,3
Deadwood Site,Ca-C,Mechanical,52.43,4.44,3,-6.3,1.09,3
Deadwood Site,Ca-C,Mechanical+Fire,43.95,7.02,3,-11.49,14.87,3
Deadwood Site,Ca-S ,Control,115.11,9.97,3,-6.96,3.09,3
Deadwood Site,Ca-S ,Prescribed Fire,104.36,7.57,6,-19.28,2.43,6
Deadwood Site,Ca-S ,Mechanical,NA,NA,NA,NA,NA,NA
Deadwood Site,Ca-S ,Mechanical+Fire,NA,NA,NA,NA,NA,NA
Deadwood Site,OR,Control,13.52,3.5,4,NA,NA,NA
Deadwood Site,OR,Prescribed Fire,6.34,1.36,4,-3.67,1.54,4
Deadwood Site,OR,Mechanical,8.79,1.1,4,3.46,1.24,4
