"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"05/19/1999","37","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","20","37",".","26","."
"05/20/1999","34","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","34",".","33","."
"05/21/1999","41","Ozone","19912 NE 164TH ST HOCKINSON SCHOOL IN BRUSH PRAIRIE, WA","53-011-0009","AQS","20","41",".","24","."
"05/22/1999","51","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","51",".","30","."
"05/23/1999","61","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","61",".","51","."
"05/24/1999","51","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","20","51","40","49","."
"05/25/1999","43","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","43",".","19","."
"05/26/1999","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","32","44",".","34","."
"05/27/1999","77","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","23","77",".","37","."
"05/28/1999","35","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","35",".","17","."
"05/29/1999","44","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","16","44",".","25","15"
"05/30/1999","49","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","14","49","23","34","15"
"05/31/1999","31","Ozone","19912 NE 164TH ST HOCKINSON SCHOOL IN BRUSH PRAIRIE, WA","53-011-0009","AQS","14","31",".","25","17"
"06/01/1999","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","37",".","23","22"
"06/02/1999","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22","31",".","36","30"
"06/03/1999","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","37",".","31","18"
"06/04/1999","28","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","19","28",".","28","27"
"06/05/1999","40","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","40","15","14","9"
"06/06/1999","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","13","31",".","14","19"
"06/07/1999","33","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","15","33",".","13","18"
"06/08/1999","29","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","19","29",".","19","26"
"06/09/1999","30","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","23","30",".","27","27"
"06/10/1999","40","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","27","40",".","40","23"
"06/11/1999","45","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","45","45","35","41","41"
"06/12/1999","50","Ozone","19912 NE 164TH ST HOCKINSON SCHOOL IN BRUSH PRAIRIE, WA","53-011-0009","AQS","38","50",".","33","22"
"06/13/1999","41","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","41",".","25","20"
"06/14/1999","61","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","22","61",".","48","25"
