"Plot Title: 20724109"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20724109, SEN S/N: 20724109, LBL: KravisSun)","End Of File (LGR S/N: 20724109, SEN S/N: 20724109)"
141,11/21/19 10:00:00 PM,49.228,
142,11/21/19 10:30:00 PM,50.466,
143,11/21/19 11:00:00 PM,52.050,
144,11/21/19 11:30:00 PM,51.699,
145,11/22/19 12:00:00 AM,51.523,
146,11/22/19 12:30:00 AM,51.346,
147,11/22/19 01:00:00 AM,50.819,
148,11/22/19 01:30:00 AM,50.113,
149,11/22/19 02:00:00 AM,49.404,
150,11/22/19 02:30:00 AM,48.517,
151,11/22/19 03:00:00 AM,47.446,
152,11/22/19 03:30:00 AM,46.548,
153,11/22/19 04:00:00 AM,46.369,
154,11/22/19 04:30:00 AM,46.188,
155,11/22/19 05:00:00 AM,45.828,
156,11/22/19 05:30:00 AM,45.648,
157,11/22/19 06:00:00 AM,45.648,
158,11/22/19 06:30:00 AM,45.466,
159,11/22/19 07:00:00 AM,46.008,
160,11/22/19 07:30:00 AM,47.802,
161,11/22/19 08:00:00 AM,49.582,
162,11/22/19 08:30:00 AM,51.346,
163,11/22/19 09:00:00 AM,53.623,
164,11/22/19 09:30:00 AM,55.711,
165,11/22/19 10:00:00 AM,57.268,
166,11/22/19 10:30:00 AM,60.368,
167,11/22/19 11:00:00 AM,63.111,
168,11/22/19 11:30:00 AM,83.935,
169,11/22/19 12:00:00 PM,94.825,
170,11/22/19 12:30:00 PM,101.082,
171,11/22/19 01:00:00 PM,102.493,
172,11/22/19 01:30:00 PM,105.577,
173,11/22/19 02:00:00 PM,90.124,
174,11/22/19 02:30:00 PM,84.295,
175,11/22/19 03:00:00 PM,67.564,
176,11/22/19 03:30:00 PM,65.167,
177,11/22/19 04:00:00 PM,61.569,
178,11/22/19 04:30:00 PM,58.476,
179,11/22/19 05:00:00 PM,56.057,
180,11/22/19 05:30:00 PM,55.537,
181,11/22/19 06:00:00 PM,54.669,
182,11/22/19 06:30:00 PM,53.449,
183,11/22/19 07:00:00 PM,52.225,
184,11/22/19 07:30:00 PM,51.523,
185,11/22/19 08:00:00 PM,51.172,
186,11/22/19 08:30:00 PM,50.995,
187,11/22/19 09:00:00 PM,50.466,
188,11/22/19 09:30:00 PM,50.466,
189,11/22/19 10:00:00 PM,51.523,
190,11/22/19 10:30:00 PM,51.874,
191,11/22/19 11:00:00 PM,50.466,
192,11/22/19 11:30:00 PM,49.050,
193,11/23/19 12:00:00 AM,48.339,
194,11/23/19 12:30:00 AM,47.802,
195,11/23/19 01:00:00 AM,48.160,
196,11/23/19 01:30:00 AM,48.695,
197,11/23/19 02:00:00 AM,48.695,
198,11/23/19 02:30:00 AM,49.228,
199,11/23/19 03:00:00 AM,49.050,
200,11/23/19 03:30:00 AM,47.802,
201,11/23/19 04:00:00 AM,47.982,
202,11/23/19 04:30:00 AM,47.446,
203,11/23/19 05:00:00 AM,46.728,
204,11/23/19 05:30:00 AM,46.369,
205,11/23/19 06:00:00 AM,45.286,
206,11/23/19 06:30:00 AM,44.742,
207,11/23/19 07:00:00 AM,45.104,
208,11/23/19 07:30:00 AM,46.369,
209,11/23/19 08:00:00 AM,48.695,
210,11/23/19 08:30:00 AM,50.643,
211,11/23/19 09:00:00 AM,52.925,
212,11/23/19 09:30:00 AM,55.189,
213,11/23/19 10:00:00 AM,57.441,
214,11/23/19 10:30:00 AM,60.195,
215,11/23/19 11:00:00 AM,63.968,
216,11/23/19 11:30:00 AM,86.277,
217,11/23/19 12:00:00 PM,97.137,
218,11/23/19 12:30:00 PM,104.540,
219,11/23/19 01:00:00 PM,108.322,
220,11/23/19 01:30:00 PM,110.264,
221,11/23/19 02:00:00 PM,93.493,
222,11/23/19 02:30:00 PM,81.975,
223,11/23/19 03:00:00 PM,66.366,
224,11/23/19 03:30:00 PM,62.940,
225,11/23/19 04:00:00 PM,60.712,
226,11/23/19 04:30:00 PM,58.303,
227,11/23/19 05:00:00 PM,55.537,
228,11/23/19 05:30:00 PM,54.669,
229,11/23/19 06:00:00 PM,54.147,
230,11/23/19 06:30:00 PM,53.798,
231,11/23/19 07:00:00 PM,53.449,
232,11/23/19 07:30:00 PM,52.576,
233,11/23/19 08:00:00 PM,51.523,
234,11/23/19 08:30:00 PM,50.995,
235,11/23/19 09:00:00 PM,50.643,
236,11/23/19 09:30:00 PM,50.466,
237,11/23/19 10:00:00 PM,50.466,
238,11/23/19 10:30:00 PM,49.582,
239,11/23/19 11:00:00 PM,48.695,
240,11/23/19 11:30:00 PM,48.339,
241,11/24/19 12:00:00 AM,47.802,
242,11/24/19 12:30:00 AM,46.728,
243,11/24/19 01:00:00 AM,47.266,
244,11/24/19 01:30:00 AM,46.908,
245,11/24/19 02:00:00 AM,46.369,
246,11/24/19 02:30:00 AM,45.648,
247,11/24/19 03:00:00 AM,45.286,
248,11/24/19 03:30:00 AM,44.560,
249,11/24/19 04:00:00 AM,44.560,
250,11/24/19 04:30:00 AM,44.195,
251,11/24/19 05:00:00 AM,43.466,
252,11/24/19 05:30:00 AM,43.099,
253,11/24/19 06:00:00 AM,42.732,
254,11/24/19 06:30:00 AM,42.548,
255,11/24/19 07:00:00 AM,43.099,
256,11/24/19 07:30:00 AM,44.742,
257,11/24/19 08:00:00 AM,46.188,
258,11/24/19 08:30:00 AM,46.369,
259,11/24/19 09:00:00 AM,49.937,
260,11/24/19 09:30:00 AM,54.669,
261,11/24/19 10:00:00 AM,58.131,
262,11/24/19 10:30:00 AM,63.626,
263,11/24/19 11:00:00 AM,68.421,
264,11/24/19 11:30:00 AM,89.384,
265,11/24/19 12:00:00 PM,100.083,
266,11/24/19 12:30:00 PM,106.835,
267,11/24/19 01:00:00 PM,110.482,
268,11/24/19 01:30:00 PM,112.467,
269,11/24/19 02:00:00 PM,100.283,
270,11/24/19 02:30:00 PM,78.975,
271,11/24/19 03:00:00 PM,67.050,
272,11/24/19 03:30:00 PM,63.111,
273,11/24/19 04:00:00 PM,61.054,
274,11/24/19 04:30:00 PM,57.614,
275,11/24/19 05:00:00 PM,54.842,
276,11/24/19 05:30:00 PM,54.147,
277,11/24/19 06:00:00 PM,53.798,
278,11/24/19 06:30:00 PM,52.750,
279,11/24/19 07:00:00 PM,50.995,
280,11/24/19 07:30:00 PM,50.819,
281,11/24/19 08:00:00 PM,49.759,
282,11/24/19 08:30:00 PM,49.759,
283,11/24/19 09:00:00 PM,49.050,
284,11/24/19 09:30:00 PM,47.802,
285,11/24/19 10:00:00 PM,47.446,
286,11/24/19 10:30:00 PM,46.908,
287,11/24/19 11:00:00 PM,46.728,
288,11/24/19 11:30:00 PM,46.188,
289,11/25/19 12:00:00 AM,46.908,
290,11/25/19 12:30:00 AM,45.466,
291,11/25/19 01:00:00 AM,45.828,
292,11/25/19 01:30:00 AM,45.466,
293,11/25/19 02:00:00 AM,44.922,
294,11/25/19 02:30:00 AM,43.466,
295,11/25/19 03:00:00 AM,43.466,
296,11/25/19 03:30:00 AM,42.915,
297,11/25/19 04:00:00 AM,43.099,
298,11/25/19 04:30:00 AM,42.732,
299,11/25/19 05:00:00 AM,42.915,
300,11/25/19 05:30:00 AM,43.099,
301,11/25/19 06:00:00 AM,42.548,
302,11/25/19 06:30:00 AM,42.363,
303,11/25/19 07:00:00 AM,42.915,
304,11/25/19 07:30:00 AM,44.013,
305,11/25/19 08:00:00 AM,46.548,
306,11/25/19 08:30:00 AM,49.404,
307,11/25/19 09:00:00 AM,51.172,
308,11/25/19 09:30:00 AM,53.973,
309,11/25/19 10:00:00 AM,56.750,
310,11/25/19 10:30:00 AM,58.476,
311,11/25/19 11:00:00 AM,62.425,
312,11/25/19 11:30:00 AM,84.295,
313,11/25/19 12:00:00 PM,96.361,
314,11/25/19 12:30:00 PM,98.897,
315,11/25/19 01:00:00 PM,104.747,
316,11/25/19 01:30:00 PM,107.046,
317,11/25/19 02:00:00 PM,98.307,
318,11/25/19 02:30:00 PM,73.926,
319,11/25/19 03:00:00 PM,66.193,
320,11/25/19 03:30:00 PM,62.083,
321,11/25/19 04:00:00 PM,59.851,
322,11/25/19 04:30:00 PM,58.131,
323,11/25/19 05:00:00 PM,57.785,
324,11/25/19 05:30:00 PM,56.750,
325,11/25/19 06:00:00 PM,58.476,
326,11/25/19 06:30:00 PM,56.577,
327,11/25/19 07:00:00 PM,56.923,
328,11/25/19 07:30:00 PM,53.623,
329,11/25/19 08:00:00 PM,52.225,
330,11/25/19 08:30:00 PM,51.874,
331,11/25/19 09:00:00 PM,51.523,
332,11/25/19 09:30:00 PM,51.346,
333,11/25/19 10:00:00 PM,50.819,
334,11/25/19 10:30:00 PM,51.523,
335,11/25/19 11:00:00 PM,50.290,
336,11/25/19 11:30:00 PM,48.517,
337,11/26/19 12:00:00 AM,47.266,
338,11/26/19 12:30:00 AM,47.266,
339,11/26/19 01:00:00 AM,46.908,
340,11/26/19 01:30:00 AM,48.871,
341,11/26/19 02:00:00 AM,47.982,
342,11/26/19 02:30:00 AM,47.266,
343,11/26/19 03:00:00 AM,48.339,
344,11/26/19 03:30:00 AM,46.908,
345,11/26/19 04:00:00 AM,45.286,
346,11/26/19 04:30:00 AM,44.560,
347,11/26/19 05:00:00 AM,43.466,
348,11/26/19 05:30:00 AM,43.099,
349,11/26/19 06:00:00 AM,42.179,
350,11/26/19 06:30:00 AM,41.810,
351,11/26/19 07:00:00 AM,42.179,
352,11/26/19 07:30:00 AM,43.282,
353,11/26/19 08:00:00 AM,47.088,
354,11/26/19 08:30:00 AM,47.802,
355,11/26/19 09:00:00 AM,49.582,
356,11/26/19 09:30:00 AM,51.523,
357,11/26/19 10:00:00 AM,53.973,
358,11/26/19 10:30:00 AM,56.577,
359,11/26/19 11:00:00 AM,58.820,
360,11/26/19 11:30:00 AM,80.029,
361,11/26/19 12:00:00 PM,91.240,
362,11/26/19 12:30:00 PM,90.309,
363,11/26/19 01:00:00 PM,94.633,
364,11/26/19 01:30:00 PM,100.483,
365,11/26/19 02:00:00 PM,93.304,
366,11/26/19 02:30:00 PM,70.480,
367,11/26/19 03:00:00 PM,66.537,
368,11/26/19 03:30:00 PM,61.227,
369,11/26/19 04:00:00 PM,57.958,
370,11/26/19 04:30:00 PM,53.623,
371,11/26/19 05:00:00 PM,51.874,
372,11/26/19 05:30:00 PM,51.874,
373,11/26/19 06:00:00 PM,51.874,
374,11/26/19 06:30:00 PM,51.699,
375,11/26/19 07:00:00 PM,51.523,
376,11/26/19 07:30:00 PM,51.346,
377,11/26/19 08:00:00 PM,50.995,
378,11/26/19 08:30:00 PM,50.819,
379,11/26/19 09:00:00 PM,48.695,
380,11/26/19 09:30:00 PM,48.517,
381,11/26/19 10:00:00 PM,48.339,
382,11/26/19 10:30:00 PM,46.188,
383,11/26/19 11:00:00 PM,44.922,
384,11/26/19 11:30:00 PM,44.742,
385,11/27/19 12:00:00 AM,44.013,
386,11/27/19 12:30:00 AM,42.732,
387,11/27/19 01:00:00 AM,44.013,
388,11/27/19 01:30:00 AM,46.728,
389,11/27/19 02:00:00 AM,47.982,
390,11/27/19 02:30:00 AM,48.339,
391,11/27/19 03:00:00 AM,49.228,
392,11/27/19 03:30:00 AM,49.228,
393,11/27/19 04:00:00 AM,48.695,
394,11/27/19 04:30:00 AM,49.228,
395,11/27/19 05:00:00 AM,49.582,
396,11/27/19 05:30:00 AM,49.050,
397,11/27/19 06:00:00 AM,49.050,
398,11/27/19 06:30:00 AM,49.404,
399,11/27/19 07:00:00 AM,49.404,
400,11/27/19 07:30:00 AM,49.404,
401,11/27/19 08:00:00 AM,50.113,
402,11/27/19 08:30:00 AM,50.290,
403,11/27/19 09:00:00 AM,50.643,
404,11/27/19 09:30:00 AM,51.346,
405,11/27/19 10:00:00 AM,51.874,
406,11/27/19 10:30:00 AM,50.995,
407,11/27/19 11:00:00 AM,50.643,
408,11/27/19 11:30:00 AM,51.874,
409,11/27/19 12:00:00 PM,50.995,
410,11/27/19 12:30:00 PM,51.172,
411,11/27/19 01:00:00 PM,51.346,
412,11/27/19 01:30:00 PM,50.995,
413,11/27/19 02:00:00 PM,50.819,
414,11/27/19 02:30:00 PM,49.404,
415,11/27/19 03:00:00 PM,49.937,
416,11/27/19 03:30:00 PM,51.523,
417,11/27/19 04:00:00 PM,47.982,
418,11/27/19 04:30:00 PM,46.188,
419,11/27/19 05:00:00 PM,45.286,
420,11/27/19 05:30:00 PM,47.088,
421,11/27/19 06:00:00 PM,47.088,
422,11/27/19 06:30:00 PM,46.908,
423,11/27/19 07:00:00 PM,46.728,
424,11/27/19 07:30:00 PM,46.728,
425,11/27/19 08:00:00 PM,46.188,
426,11/27/19 08:30:00 PM,45.828,
427,11/27/19 09:00:00 PM,45.466,
428,11/27/19 09:30:00 PM,44.013,
429,11/27/19 10:00:00 PM,41.810,
430,11/27/19 10:30:00 PM,42.732,
431,11/27/19 11:00:00 PM,43.466,
432,11/27/19 11:30:00 PM,44.742,
433,11/28/19 12:00:00 AM,44.560,
434,11/28/19 12:30:00 AM,44.560,
435,11/28/19 01:00:00 AM,44.742,
436,11/28/19 01:30:00 AM,45.104,
437,11/28/19 02:00:00 AM,45.286,
438,11/28/19 02:30:00 AM,45.466,
439,11/28/19 03:00:00 AM,45.286,
440,11/28/19 03:30:00 AM,44.560,
441,11/28/19 04:00:00 AM,44.922,
442,11/28/19 04:30:00 AM,45.104,
443,11/28/19 05:00:00 AM,45.286,
444,11/28/19 05:30:00 AM,45.104,
445,11/28/19 06:00:00 AM,45.286,
446,11/28/19 06:30:00 AM,45.286,
447,11/28/19 07:00:00 AM,45.828,
448,11/28/19 07:30:00 AM,45.828,
449,11/28/19 08:00:00 AM,46.008,
450,11/28/19 08:30:00 AM,46.369,
451,11/28/19 09:00:00 AM,46.008,
452,11/28/19 09:30:00 AM,46.008,
453,11/28/19 10:00:00 AM,46.369,
454,11/28/19 10:30:00 AM,47.088,
455,11/28/19 11:00:00 AM,45.828,
456,11/28/19 11:30:00 AM,45.466,
457,11/28/19 12:00:00 PM,44.922,
458,11/28/19 12:30:00 PM,44.742,
459,11/28/19 01:00:00 PM,43.099,
460,11/28/19 01:30:00 PM,42.915,
461,11/28/19 02:00:00 PM,42.363,
462,11/28/19 02:30:00 PM,42.179,
463,11/28/19 03:00:00 PM,42.179,
464,11/28/19 03:30:00 PM,43.099,
465,11/28/19 04:00:00 PM,41.810,
466,11/28/19 04:30:00 PM,41.625,
467,11/28/19 05:00:00 PM,41.625,
468,11/28/19 05:30:00 PM,41.254,
469,11/28/19 06:00:00 PM,41.254,
470,11/28/19 06:30:00 PM,41.439,
471,11/28/19 07:00:00 PM,41.439,
472,11/28/19 07:30:00 PM,41.067,
473,11/28/19 08:00:00 PM,41.067,
474,11/28/19 08:30:00 PM,41.439,
475,11/28/19 09:00:00 PM,41.810,
476,11/28/19 09:30:00 PM,42.179,
477,11/28/19 10:00:00 PM,41.994,
478,11/28/19 10:30:00 PM,42.179,
479,11/28/19 11:00:00 PM,41.625,
480,11/28/19 11:30:00 PM,41.810,
481,11/29/19 12:00:00 AM,42.179,
482,11/29/19 12:30:00 AM,41.994,
483,11/29/19 01:00:00 AM,39.760,
484,11/29/19 01:30:00 AM,38.440,
485,11/29/19 02:00:00 AM,38.250,
486,11/29/19 02:30:00 AM,39.007,
487,11/29/19 03:00:00 AM,40.134,
488,11/29/19 03:30:00 AM,38.818,
489,11/29/19 04:00:00 AM,37.107,
490,11/29/19 04:30:00 AM,36.145,
491,11/29/19 05:00:00 AM,35.758,
492,11/29/19 05:30:00 AM,35.370,
493,11/29/19 06:00:00 AM,34.981,
494,11/29/19 06:30:00 AM,34.394,
495,11/29/19 07:00:00 AM,35.175,
496,11/29/19 07:30:00 AM,38.061,
497,11/29/19 08:00:00 AM,39.196,
498,11/29/19 08:30:00 AM,43.648,
499,11/29/19 09:00:00 AM,45.286,
500,11/29/19 09:30:00 AM,44.560,
501,11/29/19 10:00:00 AM,45.828,
502,11/29/19 10:30:00 AM,45.466,
503,11/29/19 11:00:00 AM,48.517,
504,11/29/19 11:30:00 AM,67.564,
505,11/29/19 12:00:00 PM,62.083,
506,11/29/19 12:30:00 PM,79.502,
507,11/29/19 01:00:00 PM,82.864,
508,11/29/19 01:30:00 PM,92.363,
509,11/29/19 02:00:00 PM,78.449,
510,11/29/19 02:30:00 PM,55.537,
511,11/29/19 03:00:00 PM,50.466,
512,11/29/19 03:30:00 PM,48.160,
513,11/29/19 04:00:00 PM,49.759,
514,11/29/19 04:30:00 PM,47.088,
515,11/29/19 05:00:00 PM,45.828,
516,11/29/19 05:30:00 PM,45.466,
517,11/29/19 06:00:00 PM,44.379,
518,11/29/19 06:30:00 PM,44.379,
519,11/29/19 07:00:00 PM,46.188,
520,11/29/19 07:30:00 PM,46.728,
521,11/29/19 08:00:00 PM,45.104,
522,11/29/19 08:30:00 PM,46.548,
523,11/29/19 09:00:00 PM,44.195,
524,11/29/19 09:30:00 PM,42.363,
525,11/29/19 10:00:00 PM,40.696,
526,11/29/19 10:30:00 PM,39.947,
527,11/29/19 11:00:00 PM,39.760,
528,11/29/19 11:30:00 PM,39.384,
529,11/30/19 12:00:00 AM,39.007,
530,11/30/19 12:30:00 AM,39.384,
531,11/30/19 01:00:00 AM,40.696,
532,11/30/19 01:30:00 AM,40.696,
533,11/30/19 02:00:00 AM,39.573,
534,11/30/19 02:30:00 AM,39.760,
535,11/30/19 03:00:00 AM,38.818,
536,11/30/19 03:30:00 AM,38.818,
537,11/30/19 04:00:00 AM,39.007,
538,11/30/19 04:30:00 AM,37.870,
539,11/30/19 05:00:00 AM,37.107,
540,11/30/19 05:30:00 AM,36.723,
541,11/30/19 06:00:00 AM,36.914,
542,11/30/19 06:30:00 AM,36.723,
543,11/30/19 07:00:00 AM,37.297,
544,11/30/19 07:30:00 AM,38.818,
545,11/30/19 08:00:00 AM,41.439,
546,11/30/19 08:30:00 AM,43.831,
547,11/30/19 09:00:00 AM,46.188,
548,11/30/19 09:30:00 AM,49.759,
549,11/30/19 10:00:00 AM,52.225,
550,11/30/19 10:30:00 AM,54.495,
551,11/30/19 11:00:00 AM,58.820,
552,11/30/19 11:30:00 AM,72.199,
553,11/30/19 12:00:00 PM,74.964,
554,11/30/19 12:30:00 PM,68.763,
555,11/30/19 01:00:00 PM,65.509,
556,11/30/19 01:30:00 PM,60.368,
557,11/30/19 02:00:00 PM,58.647,
558,11/30/19 02:30:00 PM,58.993,
559,11/30/19 03:00:00 PM,55.884,
560,11/30/19 03:30:00 PM,52.925,
561,11/30/19 04:00:00 PM,51.346,
562,11/30/19 04:30:00 PM,49.582,
563,11/30/19 05:00:00 PM,48.339,
564,11/30/19 05:30:00 PM,48.517,
565,11/30/19 06:00:00 PM,47.982,
566,11/30/19 06:30:00 PM,47.624,
567,11/30/19 07:00:00 PM,47.802,
568,11/30/19 07:30:00 PM,47.802,
569,11/30/19 08:00:00 PM,48.160,
570,11/30/19 08:30:00 PM,48.339,
571,11/30/19 09:00:00 PM,48.339,
572,11/30/19 09:30:00 PM,47.982,
573,11/30/19 10:00:00 PM,48.339,
574,11/30/19 10:30:00 PM,48.160,
575,11/30/19 11:00:00 PM,47.624,
576,11/30/19 11:30:00 PM,48.160,
577,12/01/19 12:00:00 AM,47.982,
578,12/01/19 12:30:00 AM,47.624,
579,12/01/19 01:00:00 AM,48.160,
580,12/01/19 01:30:00 AM,45.648,
581,12/01/19 02:00:00 AM,44.560,
582,12/01/19 02:30:00 AM,44.379,
583,12/01/19 03:00:00 AM,44.013,
584,12/01/19 03:30:00 AM,45.104,
585,12/01/19 04:00:00 AM,46.008,
586,12/01/19 04:30:00 AM,45.286,
587,12/01/19 05:00:00 AM,44.379,
588,12/01/19 05:30:00 AM,43.831,
589,12/01/19 06:00:00 AM,44.013,
590,12/01/19 06:30:00 AM,43.831,
591,12/01/19 07:00:00 AM,44.013,
592,12/01/19 07:30:00 AM,45.286,
593,12/01/19 08:00:00 AM,48.160,
594,12/01/19 08:30:00 AM,50.466,
595,12/01/19 09:00:00 AM,52.750,
596,12/01/19 09:30:00 AM,54.669,
597,12/01/19 10:00:00 AM,56.923,
598,12/01/19 10:30:00 AM,57.785,
599,12/01/19 11:00:00 AM,59.508,
600,12/01/19 11:30:00 AM,63.455,
601,12/01/19 12:00:00 PM,65.680,
602,12/01/19 12:30:00 PM,65.167,
603,12/01/19 01:00:00 PM,64.310,
604,12/01/19 01:30:00 PM,63.282,
605,12/01/19 02:00:00 PM,64.481,
606,12/01/19 02:30:00 PM,62.425,
607,12/01/19 03:00:00 PM,60.883,
608,12/01/19 03:30:00 PM,58.303,
609,12/01/19 04:00:00 PM,55.364,
610,12/01/19 04:30:00 PM,52.576,
611,12/01/19 05:00:00 PM,50.466,
612,12/01/19 05:30:00 PM,49.404,
613,12/01/19 06:00:00 PM,48.695,
614,12/01/19 06:30:00 PM,48.517,
615,12/01/19 07:00:00 PM,48.339,
616,12/01/19 07:30:00 PM,47.624,
617,12/01/19 08:00:00 PM,47.982,
618,12/01/19 08:30:00 PM,47.624,
619,12/01/19 09:00:00 PM,47.088,
620,12/01/19 09:30:00 PM,46.728,
621,12/01/19 10:00:00 PM,46.188,
622,12/01/19 10:30:00 PM,45.648,
623,12/01/19 11:00:00 PM,44.922,
624,12/01/19 11:30:00 PM,44.922,
625,12/02/19 12:00:00 AM,45.466,
626,12/02/19 12:30:00 AM,45.286,
627,12/02/19 01:00:00 AM,43.831,
