STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060522,-9999,-9999,-9999,-9999,73,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060523,-9999,-9999,-9999,-9999,71,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060524,-9999,-9999,-9999,-9999,61,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060525,0.45,-9999,-9999,-9999,61,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060526,-9999,-9999,-9999,-9999,62,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060527,0.54,-9999,-9999,-9999,64,57,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060528,-9999,-9999,-9999,-9999,64,55,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060529,-9999,-9999,-9999,-9999,68,56,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060530,-9999,-9999,-9999,-9999,69,50,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060531,-9999,-9999,-9999,-9999,60,59,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060601,-9999,-9999,-9999,-9999,63,58,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060602,-9999,-9999,-9999,-9999,68,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060603,-9999,-9999,-9999,-9999,69,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060604,-9999,-9999,-9999,-9999,74,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060605,-9999,-9999,-9999,-9999,72,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060606,-9999,-9999,-9999,-9999,72,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060607,-9999,-9999,-9999,-9999,82,60,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060608,-9999,-9999,-9999,-9999,86,67,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060609,-9999,-9999,-9999,-9999,90,69,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060610,-9999,-9999,-9999,-9999,92,70,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060611,-9999,-9999,-9999,-9999,85,73,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060612,-9999,-9999,-9999,-9999,82,68,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060613,-9999,-9999,-9999,-9999,76,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060614,-9999,-9999,-9999,-9999,78,64,-9999
GHCND:USW00093134,LOS ANGELES DOWNTOWN USC CA US,19060615,-9999,-9999,-9999,-9999,82,64,-9999
