Identification,Latitude,Longitude,Time of Observation,Sea Surface Temperature
ATGM1,44.4,291.8,2015-01-01T10:24:00,5.5
ATGM1,44.4,291.8,2015-01-01T10:30:00,5.5
ATGM1,44.4,291.8,2015-01-01T10:36:00,5.5
ATGM1,44.4,291.8,2015-01-01T10:42:00,5.4
ATGM1,44.4,291.8,2015-01-01T10:48:00,5.2
ATGM1,44.4,291.8,2015-01-01T10:54:00,5
ATGM1,44.4,291.8,2015-01-01T11:00:00,4.9
ATGM1,44.4,291.8,2015-01-01T11:06:00,4.9
ATGM1,44.4,291.8,2015-01-01T11:12:00,5
ATGM1,44.4,291.8,2015-01-01T11:18:00,5
ATGM1,44.4,291.8,2015-01-01T11:24:00,5
ATGM1,44.4,291.8,2015-01-01T11:30:00,5
ATGM1,44.4,291.8,2015-01-01T11:36:00,5
ATGM1,44.4,291.8,2015-01-01T11:42:00,5
ATGM1,44.4,291.8,2015-01-01T11:48:00,4.7
ATGM1,44.4,291.8,2015-01-01T11:54:00,4.6
ATGM1,44.4,291.8,2015-01-01T12:00:00,4.7
ATGM1,44.4,291.8,2015-01-01T12:06:00,4.7
ATGM1,44.4,291.8,2015-01-01T12:12:00,4.5
ATGM1,44.4,291.8,2015-01-01T12:18:00,4.5
ATGM1,44.4,291.8,2015-01-01T12:24:00,4.4
ATGM1,44.4,291.8,2015-01-01T12:30:00,4.6
ATGM1,44.4,291.8,2015-01-01T12:36:00,4.5
ATGM1,44.4,291.8,2015-01-01T12:42:00,4.5
ATGM1,44.4,291.8,2015-01-01T12:48:00,4.4
ATGM1,44.4,291.8,2015-01-01T12:54:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:00:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:06:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:12:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:18:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:24:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:30:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:36:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:42:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:48:00,4.4
ATGM1,44.4,291.8,2015-01-01T13:54:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:00:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:06:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:12:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:18:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:24:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:30:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:36:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:42:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:48:00,4.5
ATGM1,44.4,291.8,2015-01-01T14:54:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:00:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:06:00,4.6
ATGM1,44.4,291.8,2015-01-01T15:12:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:18:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:24:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:30:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:36:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:42:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:48:00,4.5
ATGM1,44.4,291.8,2015-01-01T15:54:00,4.5
ATGM1,44.4,291.8,2015-01-01T16:00:00,4.5
ATGM1,44.4,291.8,2015-01-01T16:06:00,4.5
ATGM1,44.4,291.8,2015-01-01T16:12:00,4.5
ATGM1,44.4,291.8,2015-01-01T16:18:00,4.6
ATGM1,44.4,291.8,2015-01-01T16:24:00,4.5
ATGM1,44.4,291.8,2015-01-01T16:30:00,4.6
ATGM1,44.4,291.8,2015-01-01T16:36:00,4.6
ATGM1,44.4,291.8,2015-01-01T16:42:00,4.6
ATGM1,44.4,291.8,2015-01-01T16:48:00,4.6
ATGM1,44.4,291.8,2015-01-01T16:54:00,4.6
ATGM1,44.4,291.8,2015-01-01T17:00:00,4.7
ATGM1,44.4,291.8,2015-01-01T17:06:00,4.7
ATGM1,44.4,291.8,2015-01-01T17:12:00,4.7
ATGM1,44.4,291.8,2015-01-01T17:18:00,4.7
ATGM1,44.4,291.8,2015-01-01T17:24:00,4.7
ATGM1,44.4,291.8,2015-01-01T17:30:00,4.7
ATGM1,44.4,291.8,2015-01-01T17:36:00,4.6
ATGM1,44.4,291.8,2015-01-01T17:42:00,4.6
ATGM1,44.4,291.8,2015-01-01T17:48:00,4.6
ATGM1,44.4,291.8,2015-01-01T17:54:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:00:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:06:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:12:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:18:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:24:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:30:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:36:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:42:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:48:00,4.6
ATGM1,44.4,291.8,2015-01-01T18:54:00,4.7
ATGM1,44.4,291.8,2015-01-01T19:06:00,4.7
ATGM1,44.4,291.8,2015-01-01T19:12:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:18:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:24:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:30:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:36:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:42:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:48:00,4.8
ATGM1,44.4,291.8,2015-01-01T19:54:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:00:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:06:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:12:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:18:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:24:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:30:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:42:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:48:00,4.8
ATGM1,44.4,291.8,2015-01-01T20:54:00,4.8
