STATION,NAME,DATE,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT11,WT14
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1891-12-31,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-30,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-01-31,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-13,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-14,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-15,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-16,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-17,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-18,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-19,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-20,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-21,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-22,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-23,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-24,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-25,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-26,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-27,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-28,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-02-29,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-01,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-02,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-03,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-04,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-05,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-06,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-07,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-08,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-09,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-10,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-11,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-12,,,,,,,,,
USC00200230,"ANN ARBOR U OF MICH, MI US",1892-03-13,,,,,,,,,
